;Slovo;Slovný druh-Majka;Slovo2;Slovný druh-SNK;Jazykový štýl
48991;všetkým;Zámeno;všetkým;Zámeno;umelecky_rozpravky
48992;ospravedlňoval;Sloveso;ospravedlňoval;Sloveso;umelecky_rozpravky
48993;To;Zámeno;To;Zámeno;umelecky_rozpravky
48994;musel;Sloveso;musel;Sloveso;umelecky_rozpravky
48995;Alfonz;Podstatné meno;Alfonz;Podstatné meno;umelecky_rozpravky
48996;uznať;Sloveso;uznať;Sloveso;umelecky_rozpravky
48997;Hneď;Podstatné meno;Hneď;Príslovka;umelecky_rozpravky
48998;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
48999;vybral;Sloveso;vybral;Sloveso;umelecky_rozpravky
49000;za;Predložka;za;Predložka;umelecky_rozpravky
49001;Matúšom;Podstatné meno;Matúšom;Podstatné meno;umelecky_rozpravky
49002;do;Citoslovce;do;Predložka;umelecky_rozpravky
49003;prasačieho;Prídavné meno;prasačieho;Prídavné meno;umelecky_rozpravky
49004;chlieva;Podstatné meno;chlieva;Podstatné meno;umelecky_rozpravky
49005;a;Spojka;a;Spojka;umelecky_rozpravky
49006;pozval;Sloveso;pozval;Sloveso;umelecky_rozpravky
49007;ho;Zámeno;ho;Zámeno;umelecky_rozpravky
49008;k;Podstatné meno;k;Predložka;umelecky_rozpravky
49009;sebe;Zámeno;sebe;Zámeno;umelecky_rozpravky
49010;na;Citoslovce;na;Predložka;umelecky_rozpravky
49011;celých;Prídavné meno;celých;Prídavné meno;umelecky_rozpravky
49012;osem;Číslovka;osem;Číslovka;umelecky_rozpravky
49013;dní;Sloveso;dní;Podstatné meno;umelecky_rozpravky
49014;Lúpežné;Prídavné meno;Lúpežné;Prídavné meno;umelecky_rozpravky
49015;mravce;Podstatné meno;mravce;Podstatné meno;umelecky_rozpravky
49016;Jedného;Číslovka;Jedného;Číslovka;umelecky_rozpravky
49017;letného;Prídavné meno;letného;Prídavné meno;umelecky_rozpravky
49018;popoludnia;Podstatné meno;popoludnia;Podstatné meno;umelecky_rozpravky
49019;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49020;na;Citoslovce;na;Predložka;umelecky_rozpravky
49021;Makovej;Prídavné meno;Makovej;Prídavné meno;umelecky_rozpravky
49022;lúke;Podstatné meno;lúke;Podstatné meno;umelecky_rozpravky
49023;zjavila;Sloveso;zjavila;Sloveso;umelecky_rozpravky
49024;obluda;Podstatné meno;obluda;Podstatné meno;umelecky_rozpravky
49025;akú;Zámeno;akú;Zámeno;umelecky_rozpravky
49026;ešte;Príslovka;ešte;Častica;umelecky_rozpravky
49027;nikto;Podstatné meno;nikto;Zámeno;umelecky_rozpravky
49028;nikto;Podstatné meno;nikto;Zámeno;umelecky_rozpravky
49029;veľa;Príslovka;veľa;Číslovka;umelecky_rozpravky
49030;schrúmal;Sloveso;schrúmal;Sloveso;umelecky_rozpravky
49031;ale;Spojka;ale;Spojka;umelecky_rozpravky
49032;so;Predložka;so;Predložka;umelecky_rozpravky
49033;zvyškami;Podstatné meno;zvyškami;Podstatné meno;umelecky_rozpravky
49034;Obyvatelia;Podstatné meno;Obyvatelia;Podstatné meno;umelecky_rozpravky
49035;lúky;Podstatné meno;lúky;Podstatné meno;umelecky_rozpravky
49036;si;Zámeno;si;Zvratné zámeno;umelecky_rozpravky
49037;ho;Zámeno;ho;Zámeno;umelecky_rozpravky
49038;zakrátko;Príslovka;zakrátko;Príslovka;umelecky_rozpravky
49039;obľúbili;Sloveso;obľúbili;Sloveso;umelecky_rozpravky
49040;Makovej;Prídavné meno;Makovej;Prídavné meno;umelecky_rozpravky
49041;lúky;Podstatné meno;lúky;Podstatné meno;umelecky_rozpravky
49042;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49043;totiž;Spojka;totiž;Častica;umelecky_rozpravky
49044;chceli;Sloveso;chceli;Sloveso;umelecky_rozpravky
49045;zmocniť;Sloveso;zmocniť;Sloveso;umelecky_rozpravky
49046;lúpežné;Prídavné meno;lúpežné;Prídavné meno;umelecky_rozpravky
49047;mravce;Podstatné meno;mravce;Podstatné meno;umelecky_rozpravky
49048;Zvončeky;Podstatné meno;Zvončeky;Podstatné meno;umelecky_rozpravky
49049;už;Príslovka;už;Častica;umelecky_rozpravky
49050;hlásili;Sloveso;hlásili;Sloveso;umelecky_rozpravky
49051;že;Spojka;že;Spojka;umelecky_rozpravky
49052;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49053;blíži;Sloveso;blíži;Sloveso;umelecky_rozpravky
49054;nepriateľ;Podstatné meno;nepriateľ;Podstatné meno;umelecky_rozpravky
49055;Ešte;Príslovka;Ešte;Častica;umelecky_rozpravky
49056;si;Zámeno;si;Zvratné zámeno;umelecky_rozpravky
49057;to;Zámeno;to;Zámeno;umelecky_rozpravky
49058;rozmyslím;Sloveso;rozmyslím;Sloveso;umelecky_rozpravky
49059;zahučal;Sloveso;zahučal;Sloveso;umelecky_rozpravky
49060;obor;Podstatné meno;obor;Podstatné meno;umelecky_rozpravky
49061;ale;Spojka;ale;Spojka;umelecky_rozpravky
49062;už;Príslovka;už;Príslovka;umelecky_rozpravky
49063;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49064;knísal;Sloveso;knísal;Sloveso;umelecky_rozpravky
49065;nepriateľovi;Podstatné meno;nepriateľovi;Podstatné meno;umelecky_rozpravky
49066;v;Predložka;v;Predložka;umelecky_rozpravky
49067;ústrety;Príslovka;ústrety;Podstatné meno;umelecky_rozpravky
49068;Ženy;Podstatné meno;Ženy;Podstatné meno;umelecky_rozpravky
49069;a;Spojka;a;Spojka;umelecky_rozpravky
49070;deti;Podstatné meno;deti;Podstatné meno;umelecky_rozpravky
49071;sledovali;Sloveso;sledovali;Sloveso;umelecky_rozpravky
49072;z;Podstatné meno;z;Predložka;umelecky_rozpravky
49073;úkrytu;Podstatné meno;úkrytu;Podstatné meno;umelecky_rozpravky
49074;ako;Spojka;ako;Spojka;umelecky_rozpravky
49075;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49076;muži;Podstatné meno;muži;Podstatné meno;umelecky_rozpravky
49077;skrývajú;Sloveso;skrývajú;Sloveso;umelecky_rozpravky
49078;za;Predložka;za;Predložka;umelecky_rozpravky
49079;a;Spojka;a;Spojka;umelecky_rozpravky
49080;vystrčil;Sloveso;vystrčil;Sloveso;umelecky_rozpravky
49081;hrozivé;Prídavné meno;hrozivé;Prídavné meno;umelecky_rozpravky
49082;tykadlá;Podstatné meno;tykadlá;Podstatné meno;umelecky_rozpravky
49083;Skúsme;Sloveso;Skúsme;Sloveso;umelecky_rozpravky
49084;ich;Zámeno;ich;Zámeno;umelecky_rozpravky
49085;Tak;Príslovka;Tak;Zámeno;umelecky_rozpravky
49086;aj;Citoslovce;aj;Častica;umelecky_rozpravky
49087;urobili;Sloveso;urobili;Sloveso;umelecky_rozpravky
49088;A;Spojka;A;Spojka;umelecky_rozpravky
49089;zaúčinkovalo;Sloveso;zaúčinkovalo;Sloveso;umelecky_rozpravky
49090;to;Zámeno;to;Zámeno;umelecky_rozpravky
49091;Za;Predložka;Za;Predložka;umelecky_rozpravky
49092;okamih;Podstatné meno;okamih;Podstatné meno;umelecky_rozpravky
49093;boli;Sloveso;boli;Sloveso;umelecky_rozpravky
49094;preč;Príslovka;preč;Príslovka;umelecky_rozpravky
49095;a;Spojka;a;Spojka;umelecky_rozpravky
49096;na;Citoslovce;na;Predložka;umelecky_rozpravky
49097;lúčke;Podstatné meno;lúčke;Podstatné meno;umelecky_rozpravky
49098;opäť;Príslovka;opäť;Príslovka;umelecky_rozpravky
49099;zavládol;Sloveso;zavládol;Sloveso;umelecky_rozpravky
49100;mier;Podstatné meno;mier;Podstatné meno;umelecky_rozpravky
49101;Obra;Podstatné meno;Obra;Podstatné meno;umelecky_rozpravky
49102;a;Spojka;a;Spojka;umelecky_rozpravky
49103;vymenovali;Sloveso;vymenovali;Sloveso;umelecky_rozpravky
49104;za;Predložka;za;Predložka;umelecky_rozpravky
49105;čestného;Prídavné meno;čestného;Prídavné meno;umelecky_rozpravky
49106;občana;Podstatné meno;občana;Podstatné meno;umelecky_rozpravky
49107;Makovej;Prídavné meno;Makovej;Prídavné meno;umelecky_rozpravky
49108;lúky;Podstatné meno;lúky;Podstatné meno;umelecky_rozpravky
49109;Veľký;Prídavné meno;Veľký;Prídavné meno;umelecky_rozpravky
49110;futbalový;Prídavné meno;futbalový;Prídavné meno;umelecky_rozpravky
49111;zápas;Podstatné meno;zápas;Podstatné meno;umelecky_rozpravky
49112;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49113;s;Podstatné meno;s;Predložka;umelecky_rozpravky
49114;ňou;Zámeno;ňou;Zámeno;umelecky_rozpravky
49115;dalo;Sloveso;dalo;Sloveso;umelecky_rozpravky
49116;robiť;Sloveso;robiť;Sloveso;umelecky_rozpravky
49117;Napríklad;Častice;Napríklad;Častica;umelecky_rozpravky
49118;na;Citoslovce;na;Predložka;umelecky_rozpravky
49119;nej;Zámeno;nej;Zámeno;umelecky_rozpravky
49120;chodiť;Sloveso;chodiť;Sloveso;umelecky_rozpravky
49121;napadlo;Sloveso;napadlo;Sloveso;umelecky_rozpravky
49122;si;Zámeno;si;Zvratné zámeno;umelecky_rozpravky
49123;to;Zámeno;to;Zámeno;umelecky_rozpravky
49124;vyskúšala;Sloveso;vyskúšala;Sloveso;umelecky_rozpravky
49125;Nato;Zámeno;Nato;Príslovka;umelecky_rozpravky
49126;dostal;Sloveso;dostal;Sloveso;umelecky_rozpravky
49127;Rudko;Podstatné meno;Rudko;Podstatné meno;umelecky_rozpravky
49128;správny;Prídavné meno;správny;Prídavné meno;umelecky_rozpravky
49129;nápad;Podstatné meno;nápad;Podstatné meno;umelecky_rozpravky
49130;mužstvo;Podstatné meno;mužstvo;Podstatné meno;umelecky_rozpravky
49131;Rudko;Podstatné meno;Rudko;Podstatné meno;umelecky_rozpravky
49132;im;Zámeno;im;Zámeno;umelecky_rozpravky
49133;vysvetlil;Sloveso;vysvetlil;Sloveso;umelecky_rozpravky
49134;pravidlá;Podstatné meno;pravidlá;Podstatné meno;umelecky_rozpravky
49135;a;Spojka;a;Spojka;umelecky_rozpravky
49136;odpískal;Sloveso;odpískal;Sloveso;umelecky_rozpravky
49137;začiatok;Podstatné meno;začiatok;Podstatné meno;umelecky_rozpravky
49138;zápasu;Podstatné meno;zápasu;Podstatné meno;umelecky_rozpravky
49139;Nadšene;Príslovka;Nadšene;Príslovka;umelecky_rozpravky
49140;sledovali;Sloveso;sledovali;Sloveso;umelecky_rozpravky
49141;hru;Podstatné meno;hru;Podstatné meno;umelecky_rozpravky
49142;Znovu;Príslovka;Znovu;Príslovka;umelecky_rozpravky
49143;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49144;ozvala;Sloveso;ozvala;Sloveso;umelecky_rozpravky
49145;píšťalka;Podstatné meno;píšťalka;Podstatné meno;umelecky_rozpravky
49146;a;Spojka;a;Spojka;umelecky_rozpravky
49147;hra;Podstatné meno;hra;Podstatné meno;umelecky_rozpravky
49148;pokračovala;Sloveso;pokračovala;Sloveso;umelecky_rozpravky
49149;Alfonz;Podstatné meno;Alfonz;Podstatné meno;umelecky_rozpravky
49150;zakričal;Sloveso;zakričal;Sloveso;umelecky_rozpravky
49151;Neuveriteľné;Prídavné meno;Neuveriteľné;Prídavné meno;umelecky_rozpravky
49152;Pavla;Podstatné meno;Pavla;Podstatné meno;umelecky_rozpravky
49153;výborne;Príslovka;výborne;Príslovka;umelecky_rozpravky
49154;kryje;Sloveso;kryje;Sloveso;umelecky_rozpravky
49155;dal;Sloveso;dal;Sloveso;umelecky_rozpravky
49156;faul;Podstatné meno;faul;Podstatné meno;umelecky_rozpravky
49157;To;Zámeno;To;Zámeno;umelecky_rozpravky
49158;bolo;Sloveso;bolo;Sloveso;umelecky_rozpravky
49159;šťastie;Podstatné meno;šťastie;Podstatné meno;umelecky_rozpravky
49160;Gól;Podstatné meno;Gól;Podstatné meno;umelecky_rozpravky
49161;ale;Spojka;ale;Spojka;umelecky_rozpravky
49162;napokon;Príslovka;napokon;Príslovka;umelecky_rozpravky
49163;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49164;rozosmeje;Sloveso;rozosmeje;Sloveso;umelecky_rozpravky
49165;Rozzúreného;Prídavné meno;Rozzúreného;Prídavné meno;umelecky_rozpravky
49166;pokračuje;Sloveso;pokračuje;Sloveso;umelecky_rozpravky
49167;Nad;Predložka;Nad;Predložka;umelecky_rozpravky
49168;lúkou;Podstatné meno;lúkou;Podstatné meno;umelecky_rozpravky
49169;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49170;zotmelo;Sloveso;zotmelo;Sloveso;umelecky_rozpravky
49171;a;Spojka;a;Spojka;umelecky_rozpravky
49172;ihriska;Podstatné meno;ihriska;Podstatné meno;umelecky_rozpravky
49173;Keď;Spojka;Keď;Spojka;umelecky_rozpravky
49174;zaznela;Sloveso;zaznela;Sloveso;umelecky_rozpravky
49175;hymna;Podstatné meno;hymna;Podstatné meno;umelecky_rozpravky
49176;po;Predložka;po;Predložka;umelecky_rozpravky
49177;lícach;Podstatné meno;lícach;Podstatné meno;umelecky_rozpravky
49178;vyčerpaných;Prídavné meno;vyčerpaných;Prídavné meno;umelecky_rozpravky
49179;hráčov;Podstatné meno;hráčov;Podstatné meno;umelecky_rozpravky
49180;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49181;kotúľali;Sloveso;kotúľali;Sloveso;umelecky_rozpravky
49182;slzy;Podstatné meno;slzy;Podstatné meno;umelecky_rozpravky
49183;Náročné;Prídavné meno;Náročné;Prídavné meno;umelecky_rozpravky
49184;popoludnie;Podstatné meno;popoludnie;Podstatné meno;umelecky_rozpravky
49185;Za;Predložka;Za;Predložka;umelecky_rozpravky
49186;nič;Podstatné meno;nič;Zámeno;umelecky_rozpravky
49187;na;Citoslovce;na;Predložka;umelecky_rozpravky
49188;svete;Podstatné meno;svete;Podstatné meno;umelecky_rozpravky
49189;však;Spojka;však;Častica;umelecky_rozpravky
49190;rodinku;Podstatné meno;rodinku;Podstatné meno;umelecky_rozpravky
49191;a;Spojka;a;Spojka;umelecky_rozpravky
49192;tak;Príslovka;tak;Zámeno;umelecky_rozpravky
49193;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49194;Rudko;Podstatné meno;Rudko;Podstatné meno;umelecky_rozpravky
49195;a;Spojka;a;Spojka;umelecky_rozpravky
49196;Flip;Podstatné meno;Flip;Podstatné meno;umelecky_rozpravky
49197;rozhodli;Sloveso;rozhodli;Sloveso;umelecky_rozpravky
49198;že;Spojka;že;Spojka;umelecky_rozpravky
49199;jej;Zámeno;jej;Zámeno;umelecky_rozpravky
49200;občas;Príslovka;občas;Príslovka;umelecky_rozpravky
49201;pomôžu;Sloveso;pomôžu;Sloveso;umelecky_rozpravky
49202;V;Skratka;V;Predložka;umelecky_rozpravky
49203;jedno;Príslovka;jedno;Číslovka;umelecky_rozpravky
49204;vetristé;Prídavné meno;vetristé;Prídavné meno;umelecky_rozpravky
49205;popoludnie;Podstatné meno;popoludnie;Podstatné meno;umelecky_rozpravky
49206;zaspala;Sloveso;zaspala;Sloveso;umelecky_rozpravky
49207;pani;Podstatné meno;pani;Podstatné meno;umelecky_rozpravky
49208;Mandelinka;Podstatné meno;Mandelinka;Podstatné meno;umelecky_rozpravky
49209;uprostred;Príslovka;uprostred;Predložka;umelecky_rozpravky
49210;obeda;Podstatné meno;obeda;Podstatné meno;umelecky_rozpravky
49211;na;Citoslovce;na;Predložka;umelecky_rozpravky
49212;stoličke;Podstatné meno;stoličke;Podstatné meno;umelecky_rozpravky
49213;a;Spojka;a;Spojka;umelecky_rozpravky
49214;oni;Zámeno;oni;Zámeno;umelecky_rozpravky
49215;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49216;jej;Zámeno;jej;Zámeno;umelecky_rozpravky
49217;starali;Sloveso;starali;Sloveso;umelecky_rozpravky
49218;o;Citoslovce;o;Predložka;umelecky_rozpravky
49219;drobizg;Podstatné meno;drobizg;Podstatné meno;umelecky_rozpravky
49220;znamená;Sloveso;znamená;Sloveso;umelecky_rozpravky
49221;a;Spojka;a;Spojka;umelecky_rozpravky
49222;čoskoro;Príslovka;čoskoro;Príslovka;umelecky_rozpravky
49223;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49224;dostali;Sloveso;dostali;Sloveso;umelecky_rozpravky
49225;do;Citoslovce;do;Predložka;umelecky_rozpravky
49226;úzkych;Prídavné meno;úzkych;Prídavné meno;umelecky_rozpravky
49227;Chlapec;Podstatné meno;Chlapec;Podstatné meno;umelecky_rozpravky
49228;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49229;naskutku;Príslovka;naskutku;Príslovka;umelecky_rozpravky
49230;rozplakal;Sloveso;rozplakal;Sloveso;umelecky_rozpravky
49231;Nie;Častice;Nie;Častica;umelecky_rozpravky
49232;však;Spojka;však;Častica;umelecky_rozpravky
49233;nadlho;Príslovka;nadlho;Príslovka;umelecky_rozpravky
49234;Vietor;Podstatné meno;Vietor;Podstatné meno;umelecky_rozpravky
49235;silnel;Sloveso;silnel;Sloveso;umelecky_rozpravky
49236;a;Spojka;a;Spojka;umelecky_rozpravky
49237;v;Predložka;v;Predložka;umelecky_rozpravky
49238;ďatelinových;Prídavné meno;ďatelinových;Prídavné meno;umelecky_rozpravky
49239;hlavičkách;Podstatné meno;hlavičkách;Podstatné meno;umelecky_rozpravky
49240;nebezpečne;Príslovka;nebezpečne;Príslovka;umelecky_rozpravky
49241;zašumelo;Sloveso;zašumelo;Sloveso;umelecky_rozpravky
49242;Všetky;Zámeno;Všetky;Zámeno;umelecky_rozpravky
49243;deti;Podstatné meno;deti;Podstatné meno;umelecky_rozpravky
49244;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49245;tam;Príslovka;tam;Zámeno;umelecky_rozpravky
49246;túlili;Sloveso;túlili;Sloveso;umelecky_rozpravky
49247;k;Podstatné meno;k;Predložka;umelecky_rozpravky
49248;sebe;Zámeno;sebe;Zámeno;umelecky_rozpravky
49249;Nepríjemné;Prídavné meno;Nepríjemné;Prídavné meno;umelecky_rozpravky
49250;však;Spojka;však;Spojka;umelecky_rozpravky
49251;bolo;Sloveso;bolo;Sloveso;umelecky_rozpravky
49252;že;Spojka;že;Spojka;umelecky_rozpravky
49253;vietor;Podstatné meno;vietor;Podstatné meno;umelecky_rozpravky
49254;odvial;Sloveso;odvial;Sloveso;umelecky_rozpravky
49255;aj;Citoslovce;aj;Častica;umelecky_rozpravky
49256;špajzu;Podstatné meno;špajzu;Podstatné meno;umelecky_rozpravky
49257;Flip;Podstatné meno;Flip;Podstatné meno;umelecky_rozpravky
49258;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49259;ponúkol;Sloveso;ponúkol;Sloveso;umelecky_rozpravky
49260;že;Spojka;že;Spojka;umelecky_rozpravky
49261;usporiada;Sloveso;usporiada;Sloveso;umelecky_rozpravky
49262;dobročinnú;Prídavné meno;dobročinnú;Prídavné meno;umelecky_rozpravky
49263;zbierku;Podstatné meno;zbierku;Podstatné meno;umelecky_rozpravky
49264;Mravce;Podstatné meno;Mravce;Podstatné meno;umelecky_rozpravky
49265;dovliekli;Sloveso;dovliekli;Sloveso;umelecky_rozpravky
49266;celý;Prídavné meno;celý;Prídavné meno;umelecky_rozpravky
49267;kôš;Podstatné meno;kôš;Podstatné meno;umelecky_rozpravky
49268;dobrôt;Podstatné meno;dobrôt;Podstatné meno;umelecky_rozpravky
49269;včielky;Podstatné meno;včielky;Podstatné meno;umelecky_rozpravky
49270;priniesli;Sloveso;priniesli;Sloveso;umelecky_rozpravky
49271;ovocný;Prídavné meno;ovocný;Prídavné meno;umelecky_rozpravky
49272;medovník;Podstatné meno;medovník;Podstatné meno;umelecky_rozpravky
49273;a;Spojka;a;Spojka;umelecky_rozpravky
49274;Ostalo;Sloveso;Ostalo;Sloveso;umelecky_rozpravky
49275;aj;Citoslovce;aj;Častica;umelecky_rozpravky
49276;pre;Predložka;pre;Predložka;umelecky_rozpravky
49277;mamičku;Podstatné meno;mamičku;Podstatné meno;umelecky_rozpravky
49278;Na;Skratka;Na;Predložka;umelecky_rozpravky
49279;lúke;Podstatné meno;lúke;Podstatné meno;umelecky_rozpravky
49280;zavládla;Sloveso;zavládla;Sloveso;umelecky_rozpravky
49281;zúfalá;Prídavné meno;zúfalá;Prídavné meno;umelecky_rozpravky
49282;nuda;Podstatné meno;nuda;Podstatné meno;umelecky_rozpravky
49283;Takto;Príslovka;Takto;Zámeno;umelecky_rozpravky
49284;to;Zámeno;to;Zámeno;umelecky_rozpravky
49285;už;Príslovka;už;Častica;umelecky_rozpravky
49286;ďalej;Príslovka;ďalej;Príslovka;umelecky_rozpravky
49287;no;Spojka;no;Spojka;umelecky_rozpravky
49288;nič;Podstatné meno;nič;Zámeno;umelecky_rozpravky
49289;im;Zámeno;im;Zámeno;umelecky_rozpravky
49290;mám;Sloveso;mám;Sloveso;umelecky_rozpravky
49291;vyskočila;Sloveso;vyskočila;Sloveso;umelecky_rozpravky
49292;zrazu;Príslovka;zrazu;Príslovka;umelecky_rozpravky
49293;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49294;po;Predložka;po;Predložka;umelecky_rozpravky
49295;javisku;Podstatné meno;javisku;Podstatné meno;umelecky_rozpravky
49296;a;Spojka;a;Spojka;umelecky_rozpravky
49297;úlohu;Podstatné meno;úlohu;Podstatné meno;umelecky_rozpravky
49298;Rudko;Podstatné meno;Rudko;Podstatné meno;umelecky_rozpravky
49299;a;Spojka;a;Spojka;umelecky_rozpravky
49300;Flip;Podstatné meno;Flip;Podstatné meno;umelecky_rozpravky
49301;by;Spojka;by;Kondicionálová morféma;umelecky_rozpravky
49302;s;Podstatné meno;s;Predložka;umelecky_rozpravky
49303;ním;Zámeno;ním;Zámeno;umelecky_rozpravky
49304;najradšej;Častice;najradšej;Príslovka;umelecky_rozpravky
49305;vyrazili;Sloveso;vyrazili;Sloveso;umelecky_rozpravky
49306;dvere;Podstatné meno;dvere;Podstatné meno;umelecky_rozpravky
49307;Na;Skratka;Na;Predložka;umelecky_rozpravky
49308;druhý;Číslovka;druhý;Číslovka;umelecky_rozpravky
49309;deň;Podstatné meno;deň;Podstatné meno;umelecky_rozpravky
49310;bola;Podstatné meno;bola;Sloveso;umelecky_rozpravky
49311;ďalšia;Prídavné meno;ďalšia;Prídavné meno;umelecky_rozpravky
49312;skúška;Podstatné meno;skúška;Podstatné meno;umelecky_rozpravky
49313;Vyvesili;Sloveso;Vyvesili;Sloveso;umelecky_rozpravky
49314;na;Citoslovce;na;Predložka;umelecky_rozpravky
49315;tabuľu;Podstatné meno;tabuľu;Podstatné meno;umelecky_rozpravky
49316;text;Podstatné meno;text;Podstatné meno;umelecky_rozpravky
49317;ale;Spojka;ale;Spojka;umelecky_rozpravky
49318;ani;Spojka;ani;Častica;umelecky_rozpravky
49319;to;Zámeno;to;Zámeno;umelecky_rozpravky
49320;lenivosti;Podstatné meno;lenivosti;Podstatné meno;umelecky_rozpravky
49321;Navyše;Príslovka;Navyše;Častica;umelecky_rozpravky
49322;nepriateľskú;Prídavné meno;nepriateľskú;Prídavné meno;umelecky_rozpravky
49323;osu;Podstatné meno;osu;Podstatné meno;umelecky_rozpravky
49324;hral;Sloveso;hral;Sloveso;umelecky_rozpravky
49325;jeho;Zámeno;jeho;Zámeno;umelecky_rozpravky
49326;kamarát;Podstatné meno;kamarát;Podstatné meno;umelecky_rozpravky
49327;ma;Zámeno;ma;Zámeno;umelecky_rozpravky
49328;to;Zámeno;to;Zámeno;umelecky_rozpravky
49329;vyhlásil;Sloveso;vyhlásil;Sloveso;umelecky_rozpravky
49330;nie;Častice;nie;Častica;umelecky_rozpravky
49331;je;Sloveso;je;Sloveso;umelecky_rozpravky
49332;nijaká;Zámeno;nijaká;Zámeno;umelecky_rozpravky
49333;osa;Podstatné meno;osa;Podstatné meno;umelecky_rozpravky
49334;Režisér;Podstatné meno;Režisér;Podstatné meno;umelecky_rozpravky
49335;mal;Skratka;mal;Sloveso;umelecky_rozpravky
49336;toho;Zámeno;toho;Zámeno;umelecky_rozpravky
49337;akurát;Prídavné meno;akurát;Častica;umelecky_rozpravky
49338;dosť;Citoslovce;dosť;Príslovka;umelecky_rozpravky
49339;Červený;Prídavné meno;Červený;Prídavné meno;umelecky_rozpravky
49340;od;Predložka;od;Predložka;umelecky_rozpravky
49341;zlosti;Sloveso;zlosti;Podstatné meno;umelecky_rozpravky
49342;vykríkol;Sloveso;vykríkol;Sloveso;umelecky_rozpravky
49343;Ty;Zámeno;Ty;Zámeno;umelecky_rozpravky
49344;si;Zámeno;si;Sloveso;umelecky_rozpravky
49345;ale;Spojka;ale;Častica;umelecky_rozpravky
49346;nemehlo;Podstatné meno;nemehlo;Podstatné meno;umelecky_rozpravky
49347;Teba;Zámeno;Teba;Zámeno;umelecky_rozpravky
49348;odvrkol;Sloveso;odvrkol;Sloveso;umelecky_rozpravky
49349;a;Spojka;a;Spojka;umelecky_rozpravky
49350;bol;Podstatné meno;bol;Sloveso;umelecky_rozpravky
49351;preč;Príslovka;preč;Príslovka;umelecky_rozpravky
49352;Samozrejme;Príslovka;Samozrejme;Častica;umelecky_rozpravky
49353;že;Spojka;že;Spojka;umelecky_rozpravky
49354;všetci;Zámeno;všetci;Zámeno;umelecky_rozpravky
49355;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49356;premiéry;Podstatné meno;premiéry;Podstatné meno;umelecky_rozpravky
49357;báli;Sloveso;báli;Sloveso;umelecky_rozpravky
49358;a;Spojka;a;Spojka;umelecky_rozpravky
49359;v;Predložka;v;Predložka;umelecky_rozpravky
49360;zázrak;Podstatné meno;zázrak;Podstatné meno;umelecky_rozpravky
49361;Veľká;Prídavné meno;Veľká;Prídavné meno;umelecky_rozpravky
49362;letecká;Prídavné meno;letecká;Prídavné meno;umelecky_rozpravky
49363;súťaž;Podstatné meno;súťaž;Podstatné meno;umelecky_rozpravky
49364;Všetci;Zámeno;Všetci;Zámeno;umelecky_rozpravky
49365;obyvatelia;Podstatné meno;obyvatelia;Podstatné meno;umelecky_rozpravky
49366;Makovej;Prídavné meno;Makovej;Prídavné meno;umelecky_rozpravky
49367;lúky;Podstatné meno;lúky;Podstatné meno;umelecky_rozpravky
49368;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49369;zišli;Sloveso;zišli;Sloveso;umelecky_rozpravky
49370;na;Citoslovce;na;Predložka;umelecky_rozpravky
49371;čistine;Podstatné meno;čistine;Podstatné meno;umelecky_rozpravky
49372;kde;Príslovka;kde;Zámeno;umelecky_rozpravky
49373;Rudko;Podstatné meno;Rudko;Podstatné meno;umelecky_rozpravky
49374;poriadal;Sloveso;poriadal;Sloveso;umelecky_rozpravky
49375;letecké;Prídavné meno;letecké;Prídavné meno;umelecky_rozpravky
49376;preteky;Podstatné meno;preteky;Podstatné meno;umelecky_rozpravky
49377;Zúčastniť;Sloveso;Zúčastniť;Sloveso;umelecky_rozpravky
49378;sa;Zámeno;sa;Zvratné zámeno;umelecky_rozpravky
49379;mohol;Sloveso;mohol;Sloveso;umelecky_rozpravky
49380;každý;Zámeno;každý;Zámeno;umelecky_rozpravky
49381;kto;Zámeno;kto;Zámeno;umelecky_rozpravky
49382;mal;Skratka;mal;Sloveso;umelecky_rozpravky
49383;krídla;Podstatné meno;krídla;Podstatné meno;umelecky_rozpravky
49384;Vo;Predložka;Vo;Predložka;umelecky_rozpravky
