;Slovo;Slovný druh;Jazykový štýl
77451;stalo;Sloveso;umelecky_rozpravky
77452;niečo;Zámeno;umelecky_rozpravky
77453;veľmi;Príslovka;umelecky_rozpravky
77454;čudné;Prídavné meno;umelecky_rozpravky
77455;.;Interpunkcia;umelecky_rozpravky
77456;Účastníci;Podstatné meno;umelecky_rozpravky
77457;jedného;Číslovka;umelecky_rozpravky
77458;letu;Podstatné meno;umelecky_rozpravky
77459;stratili;Sloveso;umelecky_rozpravky
77460;smer;Podstatné meno;umelecky_rozpravky
77461;.;Interpunkcia;umelecky_rozpravky
77462;Pani;Podstatné meno;umelecky_rozpravky
77463;učiteľka;Podstatné meno;umelecky_rozpravky
77464;odviedla;Sloveso;umelecky_rozpravky
77465;svoju;Zámeno;umelecky_rozpravky
77466;triedu;Podstatné meno;umelecky_rozpravky
77467;a;Spojka;umelecky_rozpravky
77468;predseda;Podstatné meno;umelecky_rozpravky
77469;motýlieho;Prídavné meno;umelecky_rozpravky
77470;spolku;Podstatné meno;umelecky_rozpravky
77471;hovoril;Sloveso;umelecky_rozpravky
77472;niečo;Zámeno;umelecky_rozpravky
77473;o;Predložka;umelecky_rozpravky
77474;podvode;Podstatné meno;umelecky_rozpravky
77475;.;Interpunkcia;umelecky_rozpravky
77476;Rudko;Podstatné meno;umelecky_rozpravky
77477;bol;Sloveso;umelecky_rozpravky
77478;z;Predložka;umelecky_rozpravky
77479;toho;Zámeno;umelecky_rozpravky
77480;nešťastný;Prídavné meno;umelecky_rozpravky
77481;.;Interpunkcia;umelecky_rozpravky
77482;Už;Častica;umelecky_rozpravky
77483;na;Predložka;umelecky_rozpravky
77484;to;Zámeno;umelecky_rozpravky
77485;prišli;Sloveso;umelecky_rozpravky
77486;.;Interpunkcia;umelecky_rozpravky
77487;Pri;Predložka;umelecky_rozpravky
77488;cieli;Podstatné meno;umelecky_rozpravky
77489;sa;Zvratné zámeno;umelecky_rozpravky
77490;skrýval;Sloveso;umelecky_rozpravky
77491;osiak;Podstatné meno;umelecky_rozpravky
77492;Boris;Podstatné meno;umelecky_rozpravky
77493;a;Spojka;umelecky_rozpravky
77494;zrkadielkom;Podstatné meno;umelecky_rozpravky
77495;oslňoval;Sloveso;umelecky_rozpravky
77496;ostatných;Prídavné meno;umelecky_rozpravky
77497;pretekárov;Podstatné meno;umelecky_rozpravky
77498;,;Interpunkcia;umelecky_rozpravky
77499;len;Častica;umelecky_rozpravky
77500;aby;Spojka;umelecky_rozpravky
77501;pomohol;Sloveso;umelecky_rozpravky
77502;svojmu;Zámeno;umelecky_rozpravky
77503;zmrzačenému;Prídavné meno;umelecky_rozpravky
77504;kamarátovi;Podstatné meno;umelecky_rozpravky
77505;zvíťaziť;Sloveso;umelecky_rozpravky
77506;.;Interpunkcia;umelecky_rozpravky
77507;Boris;Podstatné meno;umelecky_rozpravky
77508;svieti;Sloveso;umelecky_rozpravky
77509;zrkadielkom;Podstatné meno;umelecky_rozpravky
77510;do;Predložka;umelecky_rozpravky
77511;očí;Podstatné meno;umelecky_rozpravky
77512;,;Interpunkcia;umelecky_rozpravky
77513;končím;Sloveso;umelecky_rozpravky
77514;,;Interpunkcia;umelecky_rozpravky
77515;“;Interpunkcia;umelecky_rozpravky
77516;hlásil;Sloveso;umelecky_rozpravky
77517;vysielačkou;Podstatné meno;umelecky_rozpravky
77518;Vilko;Podstatné meno;umelecky_rozpravky
77519;.;Interpunkcia;umelecky_rozpravky
77520;A;Spojka;umelecky_rozpravky
77521;Maja;Podstatné meno;umelecky_rozpravky
77522;odvetila;Sloveso;umelecky_rozpravky
77523;:;Interpunkcia;umelecky_rozpravky
77524;“;Interpunkcia;umelecky_rozpravky
77525;Udeľuje;Sloveso;umelecky_rozpravky
77526;sa;Zvratné zámeno;umelecky_rozpravky
77527;milosť;Podstatné meno;umelecky_rozpravky
77528;,;Interpunkcia;umelecky_rozpravky
77529;končím;Sloveso;umelecky_rozpravky
77530;.;Interpunkcia;umelecky_rozpravky
77531;“;Interpunkcia;umelecky_rozpravky
77532;Po;Predložka;umelecky_rozpravky
77533;dlhom;Prídavné meno;umelecky_rozpravky
77534;období;Podstatné meno;umelecky_rozpravky
77535;dažďov;Podstatné meno;umelecky_rozpravky
77536;vykúklo;Sloveso;umelecky_rozpravky
77537;opäť;Príslovka;umelecky_rozpravky
77538;slniečko;Podstatné meno;umelecky_rozpravky
77539;.;Interpunkcia;umelecky_rozpravky
77540;Obyvatelia;Podstatné meno;umelecky_rozpravky
77541;Makovej;Prídavné meno;umelecky_rozpravky
77542;lúky;Podstatné meno;umelecky_rozpravky
77543;to;Zámeno;umelecky_rozpravky
77544;hneď;Príslovka;umelecky_rozpravky
77545;využili;Sloveso;umelecky_rozpravky
77546;.;Interpunkcia;umelecky_rozpravky
77547;Gazdinky;Podstatné meno;umelecky_rozpravky
77548;vyložili;Sloveso;umelecky_rozpravky
77549;do;Predložka;umelecky_rozpravky
77550;okien;Podstatné meno;umelecky_rozpravky
77551;vankúše;Podstatné meno;umelecky_rozpravky
77552;,;Interpunkcia;umelecky_rozpravky
77553;Kasandra;Podstatné meno;umelecky_rozpravky
77554;zasa;Častica;umelecky_rozpravky
77555;medové;Prídavné meno;umelecky_rozpravky
77556;guľôčky;Podstatné meno;umelecky_rozpravky
77557;a;Spojka;umelecky_rozpravky
77558;slečna;Podstatné meno;umelecky_rozpravky
77559;Hopka;Podstatné meno;umelecky_rozpravky
77560;usporiadala;Sloveso;umelecky_rozpravky
77561;na;Predložka;umelecky_rozpravky
77562;čistinke;Podstatné meno;umelecky_rozpravky
77563;rannú;Prídavné meno;umelecky_rozpravky
77564;rozcvičku;Podstatné meno;umelecky_rozpravky
77565;.;Interpunkcia;umelecky_rozpravky
77566;Po;Predložka;umelecky_rozpravky
77567;kráľovskej;Prídavné meno;umelecky_rozpravky
77568;hostine;Podstatné meno;umelecky_rozpravky
77569;,;Interpunkcia;umelecky_rozpravky
77570;na;Predložka;umelecky_rozpravky
77571;ktorú;Zámeno;umelecky_rozpravky
77572;mravce;Podstatné meno;umelecky_rozpravky
77573;priniesli;Sloveso;umelecky_rozpravky
77574;obrie;Prídavné meno;umelecky_rozpravky
77575;porcie;Podstatné meno;umelecky_rozpravky
77576;špagiet;Podstatné meno;umelecky_rozpravky
77577;s;Predložka;umelecky_rozpravky
77578;voškovou;Prídavné meno;umelecky_rozpravky
77579;omáčkou;Podstatné meno;umelecky_rozpravky
77580;,;Interpunkcia;umelecky_rozpravky
77581;si;Zvratné zámeno;umelecky_rozpravky
77582;všetci;Zámeno;umelecky_rozpravky
77583;políhali;Sloveso;umelecky_rozpravky
77584;na;Predložka;umelecky_rozpravky
77585;slniečko;Podstatné meno;umelecky_rozpravky
77586;,;Interpunkcia;umelecky_rozpravky
77587;aby;Spojka;umelecky_rozpravky
77588;si;Zvratné zámeno;umelecky_rozpravky
77589;oddýchli;Sloveso;umelecky_rozpravky
77590;.;Interpunkcia;umelecky_rozpravky
77591;Maja;Podstatné meno;umelecky_rozpravky
77592;s;Predložka;umelecky_rozpravky
77593;Vilkom;Podstatné meno;umelecky_rozpravky
77594;si;Zvratné zámeno;umelecky_rozpravky
77595;však;Častica;umelecky_rozpravky
77596;našli;Sloveso;umelecky_rozpravky
77597;lepšiu;Prídavné meno;umelecky_rozpravky
77598;zábavu;Podstatné meno;umelecky_rozpravky
77599;.;Interpunkcia;umelecky_rozpravky
77600;V;Predložka;umelecky_rozpravky
77601;zápale;Podstatné meno;umelecky_rozpravky
77602;hry;Podstatné meno;umelecky_rozpravky
77603;Maja;Podstatné meno;umelecky_rozpravky
77604;prihrala;Sloveso;umelecky_rozpravky
77605;Vilkovi;Podstatné meno;umelecky_rozpravky
77606;,;Interpunkcia;umelecky_rozpravky
77607;ten;Zámeno;umelecky_rozpravky
77608;prudko;Príslovka;umelecky_rozpravky
77609;kopol;Sloveso;umelecky_rozpravky
77610;do;Predložka;umelecky_rozpravky
77611;lopty;Podstatné meno;umelecky_rozpravky
77612;a;Spojka;umelecky_rozpravky
77613;lopta;Podstatné meno;umelecky_rozpravky
77614;zmizla;Sloveso;umelecky_rozpravky
77615;v;Predložka;umelecky_rozpravky
77616;kroví;Prídavné meno;umelecky_rozpravky
77617;.;Interpunkcia;umelecky_rozpravky
77618;Vzápätí;Príslovka;umelecky_rozpravky
77619;sa;Zvratné zámeno;umelecky_rozpravky
77620;vynoril;Sloveso;umelecky_rozpravky
77621;Zlatoň;Podstatné meno;umelecky_rozpravky
77622;a;Spojka;umelecky_rozpravky
77623;držal;Sloveso;umelecky_rozpravky
77624;si;Zvratné zámeno;umelecky_rozpravky
77625;hrču;Podstatné meno;umelecky_rozpravky
77626;na;Predložka;umelecky_rozpravky
77627;čele;Podstatné meno;umelecky_rozpravky
77628;.;Interpunkcia;umelecky_rozpravky
77629;Volám;Sloveso;umelecky_rozpravky
77630;sa;Zvratné zámeno;umelecky_rozpravky
77631;Jurko;Podstatné meno;umelecky_rozpravky
77632;.;Interpunkcia;umelecky_rozpravky
77633;Ešteže;Častica;umelecky_rozpravky
77634;to;Zámeno;umelecky_rozpravky
77635;spozorvali;Sloveso;umelecky_rozpravky
77636;mravce;Podstatné meno;umelecky_rozpravky
77637;a;Spojka;umelecky_rozpravky
77638;zavolali;Sloveso;umelecky_rozpravky
77639;hasičov;Podstatné meno;umelecky_rozpravky
77640;!;Interpunkcia;umelecky_rozpravky
77641;Vzápätí;Príslovka;umelecky_rozpravky
77642;pribehli;Sloveso;umelecky_rozpravky
77643;mandelinčatá;Podstatné meno;umelecky_rozpravky
77644;s;Predložka;umelecky_rozpravky
77645;boľavými;Prídavné meno;umelecky_rozpravky
77646;bruchami;Podstatné meno;umelecky_rozpravky
77647;,;Interpunkcia;umelecky_rozpravky
77648;takže;Spojka;umelecky_rozpravky
77649;musela;Sloveso;umelecky_rozpravky
77650;ošetriť;Sloveso;umelecky_rozpravky
77651;aj;Spojka;umelecky_rozpravky
77652;ich;Zámeno;umelecky_rozpravky
77653;.;Interpunkcia;umelecky_rozpravky
77654;Jurko;Podstatné meno;umelecky_rozpravky
77655;sa;Zvratné zámeno;umelecky_rozpravky
77656;urazil;Sloveso;umelecky_rozpravky
77657;.;Interpunkcia;umelecky_rozpravky
77658;Na;Predložka;umelecky_rozpravky
77659;cudzej;Prídavné meno;umelecky_rozpravky
77660;planéte;Podstatné meno;umelecky_rozpravky
77661;Maja;Podstatné meno;umelecky_rozpravky
77662;s;Predložka;umelecky_rozpravky
77663;Rudkom;Podstatné meno;umelecky_rozpravky
77664;sa;Zvratné zámeno;umelecky_rozpravky
77665;práve;Príslovka;umelecky_rozpravky
77666;vracali;Sloveso;umelecky_rozpravky
77667;domov;Príslovka;umelecky_rozpravky
77668;,;Interpunkcia;umelecky_rozpravky
77669;keď;Spojka;umelecky_rozpravky
77670;sa;Zvratné zámeno;umelecky_rozpravky
77671;strhol;Sloveso;umelecky_rozpravky
77672;vietor;Podstatné meno;umelecky_rozpravky
77673;.;Interpunkcia;umelecky_rozpravky
77674;Keď;Spojka;umelecky_rozpravky
77675;búrka;Podstatné meno;umelecky_rozpravky
77676;ustala;Sloveso;umelecky_rozpravky
77677;,;Interpunkcia;umelecky_rozpravky
77678;zistili;Sloveso;umelecky_rozpravky
77679;,;Interpunkcia;umelecky_rozpravky
77680;že;Spojka;umelecky_rozpravky
77681;pristáli;Sloveso;umelecky_rozpravky
77682;na;Predložka;umelecky_rozpravky
77683;púšti;Podstatné meno;umelecky_rozpravky
77684;.;Interpunkcia;umelecky_rozpravky
77685;Všade;Zámeno;umelecky_rozpravky
77686;navôkol;Príslovka;umelecky_rozpravky
77687;bol;Sloveso;umelecky_rozpravky
77688;piesok;Podstatné meno;umelecky_rozpravky
77689;.;Interpunkcia;umelecky_rozpravky
77690;Zarazene;Príslovka;umelecky_rozpravky
77691;vstali;Sloveso;umelecky_rozpravky
77692;a;Spojka;umelecky_rozpravky
77693;skúmali;Sloveso;umelecky_rozpravky
77694;,;Interpunkcia;umelecky_rozpravky
77695;či;Spojka;umelecky_rozpravky
77696;sú;Sloveso;umelecky_rozpravky
77697;celí;Prídavné meno;umelecky_rozpravky
77698;.;Interpunkcia;umelecky_rozpravky
77699;Rudko;Podstatné meno;umelecky_rozpravky
77700;si;Zvratné zámeno;umelecky_rozpravky
77701;z;Predložka;umelecky_rozpravky
77702;listu;Podstatné meno;umelecky_rozpravky
77703;urobil;Sloveso;umelecky_rozpravky
77704;slnečník;Podstatné meno;umelecky_rozpravky
77705;.;Interpunkcia;umelecky_rozpravky
77706;Než;Spojka;umelecky_rozpravky
77707;však;Častica;umelecky_rozpravky
77708;stačili;Sloveso;umelecky_rozpravky
77709;vzlietnuť;Sloveso;umelecky_rozpravky
77710;,;Interpunkcia;umelecky_rozpravky
77711;obkolesila;Sloveso;umelecky_rozpravky
77712;ich;Zámeno;umelecky_rozpravky
77713;horda;Podstatné meno;umelecky_rozpravky
77714;zelených;Prídavné meno;umelecky_rozpravky
77715;mužíčkov;Podstatné meno;umelecky_rozpravky
77716;.;Interpunkcia;umelecky_rozpravky
77717;“;Interpunkcia;umelecky_rozpravky
77718;Mimozemšťania;Podstatné meno;umelecky_rozpravky
77719;,;Interpunkcia;umelecky_rozpravky
77720;“;Interpunkcia;umelecky_rozpravky
77721;zašepkal;Sloveso;umelecky_rozpravky
77722;Rudko;Podstatné meno;umelecky_rozpravky
77723;vystrašene;Príslovka;umelecky_rozpravky
77724;.;Interpunkcia;umelecky_rozpravky
77725;Aj;Častica;umelecky_rozpravky
77726;Maja;Podstatné meno;umelecky_rozpravky
77727;zbledla;Sloveso;umelecky_rozpravky
77728;.;Interpunkcia;umelecky_rozpravky
77729;“;Interpunkcia;umelecky_rozpravky
77730;Obviňujeme;Sloveso;umelecky_rozpravky
77731;vás;Zámeno;umelecky_rozpravky
77732;,;Interpunkcia;umelecky_rozpravky
77733;že;Spojka;umelecky_rozpravky
77734;ste;Sloveso;umelecky_rozpravky
77735;nám;Zámeno;umelecky_rozpravky
77736;odcudzili;Sloveso;umelecky_rozpravky
77737;drahocennú;Prídavné meno;umelecky_rozpravky
77738;potravu;Podstatné meno;umelecky_rozpravky
77739;,;Interpunkcia;umelecky_rozpravky
77740;“;Interpunkcia;umelecky_rozpravky
77741;povedal;Sloveso;umelecky_rozpravky
77742;prísne;Príslovka;umelecky_rozpravky
77743;veliteľ;Podstatné meno;umelecky_rozpravky
77744;a;Spojka;umelecky_rozpravky
77745;dal;Sloveso;umelecky_rozpravky
77746;pokyn;Podstatné meno;umelecky_rozpravky
77747;,;Interpunkcia;umelecky_rozpravky
77748;aby;Spojka;umelecky_rozpravky
77749;ich;Zámeno;umelecky_rozpravky
77750;zajali;Sloveso;umelecky_rozpravky
77751;a;Spojka;umelecky_rozpravky
77752;postavili;Sloveso;umelecky_rozpravky
77753;pred;Predložka;umelecky_rozpravky
77754;sudcu;Podstatné meno;umelecky_rozpravky
77755;.;Interpunkcia;umelecky_rozpravky
77756;“;Interpunkcia;umelecky_rozpravky
77757;Som;Sloveso;umelecky_rozpravky
77758;advokátka;Podstatné meno;umelecky_rozpravky
77759;,;Interpunkcia;umelecky_rozpravky
77760;vyhlásila;Sloveso;umelecky_rozpravky
77761;pohotovo;Príslovka;umelecky_rozpravky
77762;Maja;Podstatné meno;umelecky_rozpravky
77763;,;Interpunkcia;umelecky_rozpravky
77764;“;Interpunkcia;umelecky_rozpravky
77765;a;Spojka;umelecky_rozpravky
77766;pána;Podstatné meno;umelecky_rozpravky
77767;Rudka;Podstatné meno;umelecky_rozpravky
77768;budem;Sloveso;umelecky_rozpravky
77769;zastupovať;Sloveso;umelecky_rozpravky
77770;!;Interpunkcia;umelecky_rozpravky
77771;“;Interpunkcia;umelecky_rozpravky
77772;Sudcovi;Podstatné meno;umelecky_rozpravky
77773;sa;Zvratné zámeno;umelecky_rozpravky
77774;jej;Zámeno;umelecky_rozpravky
77775;smelosť;Podstatné meno;umelecky_rozpravky
77776;páčila;Sloveso;umelecky_rozpravky
77777;,;Interpunkcia;umelecky_rozpravky
77778;a;Spojka;umelecky_rozpravky
77779;tak;Spojka;umelecky_rozpravky
77780;súhlasil;Sloveso;umelecky_rozpravky
77781;.;Interpunkcia;umelecky_rozpravky
77782;Bežala;Sloveso;umelecky_rozpravky
77783;na;Predložka;umelecky_rozpravky
77784;rodnú;Prídavné meno;umelecky_rozpravky
77785;lúku;Podstatné meno;umelecky_rozpravky
77786;,;Interpunkcia;umelecky_rozpravky
77787;ktorú;Zámeno;umelecky_rozpravky
77788;po;Predložka;umelecky_rozpravky
77789;búrke;Podstatné meno;umelecky_rozpravky
77790;ľahko;Príslovka;umelecky_rozpravky
77791;našla;Sloveso;umelecky_rozpravky
77792;.;Interpunkcia;umelecky_rozpravky
77793;Tekla;Podstatné meno;umelecky_rozpravky
77794;nadšene;Príslovka;umelecky_rozpravky
77795;schytila;Sloveso;umelecky_rozpravky
77796;husle;Podstatné meno;umelecky_rozpravky
77797;a;Spojka;umelecky_rozpravky
77798;knísala;Sloveso;umelecky_rozpravky
77799;sa;Zvratné zámeno;umelecky_rozpravky
77800;za;Predložka;umelecky_rozpravky
77801;Majou;Podstatné meno;umelecky_rozpravky
77802;.;Interpunkcia;umelecky_rozpravky
77803;Stala;Sloveso;umelecky_rozpravky
77804;si;Zvratné zámeno;umelecky_rozpravky
77805;na;Predložka;umelecky_rozpravky
77806;kameň;Podstatné meno;umelecky_rozpravky
77807;a;Spojka;umelecky_rozpravky
77808;začala;Sloveso;umelecky_rozpravky
77809;vrzúkať;Sloveso;umelecky_rozpravky
77810;.;Interpunkcia;umelecky_rozpravky
77811;Tekla;Podstatné meno;umelecky_rozpravky
77812;sa;Zvratné zámeno;umelecky_rozpravky
77813;tomu;Zámeno;umelecky_rozpravky
77814;potešila;Sloveso;umelecky_rozpravky
77815;a;Spojka;umelecky_rozpravky
77816;bola;Sloveso;umelecky_rozpravky
77817;nadmieru;Príslovka;umelecky_rozpravky
77818;spokojná;Prídavné meno;umelecky_rozpravky
77819;.;Interpunkcia;umelecky_rozpravky
77820;Ako;Zámeno;umelecky_rozpravky
77821;sa;Zvratné zámeno;umelecky_rozpravky
77822;stretla;Sloveso;umelecky_rozpravky
77823;s;Predložka;umelecky_rozpravky
77824;motýľom;Podstatné meno;umelecky_rozpravky
77825;Emanuelom;Podstatné meno;umelecky_rozpravky
77826;Na;Predložka;umelecky_rozpravky
77827;okraji;Podstatné meno;umelecky_rozpravky
77828;makového;Prídavné meno;umelecky_rozpravky
77829;poľa;Podstatné meno;umelecky_rozpravky
77830;sedel;Sloveso;umelecky_rozpravky
77831;motýľ;Podstatné meno;umelecky_rozpravky
77832;s;Predložka;umelecky_rozpravky
77833;malým;Prídavné meno;umelecky_rozpravky
77834;oranžovým;Prídavné meno;umelecky_rozpravky
77835;cylindrom;Podstatné meno;umelecky_rozpravky
77836;na;Predložka;umelecky_rozpravky
77837;hlave;Podstatné meno;umelecky_rozpravky
77838;.;Interpunkcia;umelecky_rozpravky
77839;Z;Predložka;umelecky_rozpravky
77840;maku;Podstatné meno;umelecky_rozpravky
77841;vyšlo;Sloveso;umelecky_rozpravky
77842;ako;Spojka;umelecky_rozpravky
77843;z;Predložka;umelecky_rozpravky
77844;lesa;Podstatné meno;umelecky_rozpravky
77845;drobučké;Prídavné meno;umelecky_rozpravky
77846;dievčatko;Podstatné meno;umelecky_rozpravky
77847;.;Interpunkcia;umelecky_rozpravky
77848;Malo;Sloveso;umelecky_rozpravky
77849;sukničku;Podstatné meno;umelecky_rozpravky
77850;z;Predložka;umelecky_rozpravky
77851;makových;Prídavné meno;umelecky_rozpravky
77852;lupienkov;Podstatné meno;umelecky_rozpravky
77853;a;Spojka;umelecky_rozpravky
77854;usmievalo;Sloveso;umelecky_rozpravky
77855;sa;Zvratné zámeno;umelecky_rozpravky
77856;.;Interpunkcia;umelecky_rozpravky
77857;“;Interpunkcia;umelecky_rozpravky
77858;Som;Sloveso;umelecky_rozpravky
77859;Makulienka;Podstatné meno;umelecky_rozpravky
77860;,;Interpunkcia;umelecky_rozpravky
77861;“;Interpunkcia;umelecky_rozpravky
77862;vraví;Sloveso;umelecky_rozpravky
77863;motýľovi;Podstatné meno;umelecky_rozpravky
77864;.;Interpunkcia;umelecky_rozpravky
77865;“;Interpunkcia;umelecky_rozpravky
77866;Veru;Častica;umelecky_rozpravky
77867;mohla;Sloveso;umelecky_rozpravky
77868;,;Interpunkcia;umelecky_rozpravky
77869;“;Interpunkcia;umelecky_rozpravky
77870;odvetila;Sloveso;umelecky_rozpravky
77871;makovica;Podstatné meno;umelecky_rozpravky
77872;.;Interpunkcia;umelecky_rozpravky
77873;“;Interpunkcia;umelecky_rozpravky
77874;Ďakujem;Sloveso;umelecky_rozpravky
77875;,;Interpunkcia;umelecky_rozpravky
77876;“;Interpunkcia;umelecky_rozpravky
77877;povedala;Sloveso;umelecky_rozpravky
77878;Makulienka;Podstatné meno;umelecky_rozpravky
77879;,;Interpunkcia;umelecky_rozpravky
77880;“;Interpunkcia;umelecky_rozpravky
77881;ibaže;Spojka;umelecky_rozpravky
77882;neviem;Sloveso;umelecky_rozpravky
77883;,;Interpunkcia;umelecky_rozpravky
77884;čo;Zámeno;umelecky_rozpravky
77885;mám;Sloveso;umelecky_rozpravky
77886;robiť;Sloveso;umelecky_rozpravky
77887;,;Interpunkcia;umelecky_rozpravky
77888;aby;Spojka;umelecky_rozpravky
77889;drozd;Podstatné meno;umelecky_rozpravky
77890;vrátil;Sloveso;umelecky_rozpravky
77891;Emanuelovi;Podstatné meno;umelecky_rozpravky
77892;cylinder;Podstatné meno;umelecky_rozpravky
77893;.;Interpunkcia;umelecky_rozpravky
77894;“;Interpunkcia;umelecky_rozpravky
77895;Makovica;Podstatné meno;umelecky_rozpravky
77896;zatriasla;Sloveso;umelecky_rozpravky
77897;hlavou;Podstatné meno;umelecky_rozpravky
77898;.;Interpunkcia;umelecky_rozpravky
77899;Makové;Prídavné meno;umelecky_rozpravky
77900;zrniečka;Podstatné meno;umelecky_rozpravky
77901;v;Predložka;umelecky_rozpravky
77902;nej;Zámeno;umelecky_rozpravky
77903;zašušťali;Sloveso;umelecky_rozpravky
77904;,;Interpunkcia;umelecky_rozpravky
77905;ako;Spojka;umelecky_rozpravky
77906;keď;Spojka;umelecky_rozpravky
77907;sa;Zvratné zámeno;umelecky_rozpravky
77908;presýpajú;Sloveso;umelecky_rozpravky
77909;myšlienky;Podstatné meno;umelecky_rozpravky
77910;.;Interpunkcia;umelecky_rozpravky
77911;Chvíľu;Podstatné meno;umelecky_rozpravky
77912;trvalo;Sloveso;umelecky_rozpravky
77913;,;Interpunkcia;umelecky_rozpravky
77914;kým;Spojka;umelecky_rozpravky
77915;zbadali;Sloveso;umelecky_rozpravky
77916;drozda;Podstatné meno;umelecky_rozpravky
77917;.;Interpunkcia;umelecky_rozpravky
77918;“;Interpunkcia;umelecky_rozpravky
77919;Chodí;Sloveso;umelecky_rozpravky
77920;spať;Sloveso;umelecky_rozpravky
77921;ako;Spojka;umelecky_rozpravky
77922;slniečko;Podstatné meno;umelecky_rozpravky
77923;,;Interpunkcia;umelecky_rozpravky
77924;“;Interpunkcia;umelecky_rozpravky
77925;povzdychol;Sloveso;umelecky_rozpravky
77926;si;Zvratné zámeno;umelecky_rozpravky
77927;motýľ;Podstatné meno;umelecky_rozpravky
77928;Emanuel;Podstatné meno;umelecky_rozpravky
77929;.;Interpunkcia;umelecky_rozpravky
77930;“;Interpunkcia;umelecky_rozpravky
77931;Tak;Častica;umelecky_rozpravky
77932;uspíme;Sloveso;umelecky_rozpravky
77933;slniečko;Podstatné meno;umelecky_rozpravky
77934;!;Interpunkcia;umelecky_rozpravky
77935;“;Interpunkcia;umelecky_rozpravky
77936;navrhla;Sloveso;umelecky_rozpravky
77937;Makulienka;Podstatné meno;umelecky_rozpravky
77938;.;Interpunkcia;umelecky_rozpravky
77939;“;Interpunkcia;umelecky_rozpravky
77940;Čo;Zámeno;umelecky_rozpravky
77941;mi;Zámeno;umelecky_rozpravky
77942;nesieš;Sloveso;umelecky_rozpravky
77943;,;Interpunkcia;umelecky_rozpravky
77944;Emanuel;Podstatné meno;umelecky_rozpravky
77945;?;Interpunkcia;umelecky_rozpravky
77946;“;Interpunkcia;umelecky_rozpravky
77947;vypytovalo;Sloveso;umelecky_rozpravky
77948;sa;Zvratné zámeno;umelecky_rozpravky
77949;slniečko;Podstatné meno;umelecky_rozpravky
77950;.;Interpunkcia;umelecky_rozpravky
77951;Na;Predložka;umelecky_rozpravky
77952;spanie;Podstatné meno;umelecky_rozpravky
77953;.;Interpunkcia;umelecky_rozpravky
77954;Druhý;Číslovka;umelecky_rozpravky
77955;raz;Číslovka;umelecky_rozpravky
77956;Makulienku;Podstatné meno;umelecky_rozpravky
77957;.;Interpunkcia;umelecky_rozpravky
77958;Ako;Zámeno;umelecky_rozpravky
77959;zažala;Sloveso;umelecky_rozpravky
77960;lúčne;Prídavné meno;umelecky_rozpravky
77961;svetielko;Podstatné meno;umelecky_rozpravky
77962;Počujete;Sloveso;umelecky_rozpravky
77963;ma;Zámeno;umelecky_rozpravky
77964;?;Interpunkcia;umelecky_rozpravky
77965;“;Interpunkcia;umelecky_rozpravky
77966;V;Predložka;umelecky_rozpravky
77967;lese;Podstatné meno;umelecky_rozpravky
77968;nie;Častica;umelecky_rozpravky
77969;je;Sloveso;umelecky_rozpravky
77970;,;Interpunkcia;umelecky_rozpravky
77971;“;Interpunkcia;umelecky_rozpravky
77972;povedala;Sloveso;umelecky_rozpravky
77973;ozvena;Podstatné meno;umelecky_rozpravky
77974;z;Predložka;umelecky_rozpravky
77975;lesa;Podstatné meno;umelecky_rozpravky
77976;.;Interpunkcia;umelecky_rozpravky
77977;“;Interpunkcia;umelecky_rozpravky
77978;Celý;Prídavné meno;umelecky_rozpravky
77979;deň;Podstatné meno;umelecky_rozpravky
77980;som;Sloveso;umelecky_rozpravky
77981;ho;Zámeno;umelecky_rozpravky
77982;nevidela;Sloveso;umelecky_rozpravky
77983;,;Interpunkcia;umelecky_rozpravky
77984;“;Interpunkcia;umelecky_rozpravky
77985;zahučala;Sloveso;umelecky_rozpravky
77986;ozvena;Podstatné meno;umelecky_rozpravky
77987;zo;Predložka;umelecky_rozpravky
77988;skaly;Podstatné meno;umelecky_rozpravky
77989;.;Interpunkcia;umelecky_rozpravky
77990;“;Interpunkcia;umelecky_rozpravky
77991;Netráp;Sloveso;umelecky_rozpravky
77992;sa;Zvratné zámeno;umelecky_rozpravky
77993;,;Interpunkcia;umelecky_rozpravky
77994;niečo;Zámeno;umelecky_rozpravky
77995;vymyslíme;Sloveso;umelecky_rozpravky
77996;,;Interpunkcia;umelecky_rozpravky
77997;“;Interpunkcia;umelecky_rozpravky
77998;povedala;Sloveso;umelecky_rozpravky
77999;Makulienka;Podstatné meno;umelecky_rozpravky
78000;.;Interpunkcia;umelecky_rozpravky
78001;A;Spojka;umelecky_rozpravky
78002;teraz;Príslovka;umelecky_rozpravky
78003;pomôžem;Sloveso;umelecky_rozpravky
78004;ja;Zámeno;umelecky_rozpravky
78005;tebe;Zámeno;umelecky_rozpravky
78006;.;Interpunkcia;umelecky_rozpravky
78007;Lúčne;Častica;umelecky_rozpravky
78008;svetielko;Podstatné meno;umelecky_rozpravky
78009;sa;Zvratné zámeno;umelecky_rozpravky
78010;stratilo;Sloveso;umelecky_rozpravky
78011;v;Predložka;umelecky_rozpravky
78012;tme;Podstatné meno;umelecky_rozpravky
78013;a;Spojka;umelecky_rozpravky
78014;o;Predložka;umelecky_rozpravky
78015;chvíľu;Podstatné meno;umelecky_rozpravky
78016;už;Častica;umelecky_rozpravky
