Slovo;POSTAG;Slovo2;POSTAG2
súťažiť;VIe+;súťažiť;VIe+
.;SENT;.;Z
Vilko;SSms1:r;Vilko;SSms1:r
stál;VLescm+;stál;VLescm+
v;Eu6;v;Eu6
cieli;SSis6;cieli;SSis6
so;Ev7;so;Ev7
stopkami;SSfp7;stopkami;SSfp7
a;O;a;O
meral;VLescm+;meral;VLescm+
čas;SSis4;čas;SSis4
.;SENT;.;Z
Nie;T;Nie;T
je;VKesc+;je;VKesc-
dobrý;AAms1x;dobrý;AAms1x
v;Eu6;v;Eu6
počtoch;SSip6;počtoch;SSip6
,;Z;,;Z
a;O;a;O
preto;PD;preto;PD
sa;R;sa;R
často;Dx;často;Dx
mýlil;VLescm+;mýlil;VLescm+
.;SENT;.;Z
Pretože;O;Pretože;O
bolo;VLescn+;bolo;VLescn+
kakarátky;Q;kakarátky;Q
,;Z;,;Z
nepohádali;VLdpcf-;nepohádali;VLdpcf-
sa;R;sa;R
,;Z;,;Z
ale;O;ale;O
išli;VLepcm+;išli;VLepcf+
spolu;Dx;spolu;Dx
na;Eu4;na;Eu4
zmrzlinu;SSfs4;zmrzlinu;SSfs4
.;SENT;.;Z
Vtom;Dx;Vtom;Dx
sa;R;sa;R
však;T;však;T
stalo;VLdscn+;stalo;VLdscn+
niečo;PFns1;niečo;PFns1
veľmi;Dx;veľmi;Dx
čudné;AAns1x;čudné;AAns1x
.;SENT;.;Z
Účastníci;SSmp1;Účastníci;SSmp1
jedného;NFis2;jedného;NFis2
letu;SSis2;letu;SSis2
stratili;VLdpcm+;stratili;VLdpcm+
smer;SSis4;smer;SSis4
.;SENT;.;Z
Pani;SUfs1;Pani;SUfs1
učiteľka;SSfs1;učiteľka;SSfs1
odviedla;VLdscf+;odviedla;VLdscf+
svoju;PFfs4;svoju;PFfs4
triedu;SSfs4;triedu;SSfs4
a;O;a;O
predseda;SSms1;predseda;SSms1
motýlieho;AAis2x;motýlieho;AAis2x
spolku;SSis2;spolku;SSis2
hovoril;VLescm+;hovoril;VLescm+
niečo;PFns4;niečo;PFns4
o;Eu6;o;Eu6
podvode;SSis6;podvode;SSis6
.;SENT;.;Z
Rudko;SSms1:r;Rudko;SSms1:r
bol;VLescm+;bol;VLescm+
z;Eu2;z;Eu2
toho;PFns2;toho;PFns2
nešťastný;AAms1x;nešťastný;AAms1x
.;SENT;.;Z
Už;T;Už;T
na;Eu4;na;Eu4
to;PFns4;to;PFns4
prišli;VLdpbh+;prišli;VLdpcm+
.;SENT;.;Z
Pri;Eu6;Pri;Eu6
cieli;SSis6;cieli;SSis6
sa;R;sa;R
skrýval;VLescm+;skrýval;VLescm+
osiak;SSms1;osiak;SSms1
Boris;SSms1:r;Boris;SSms1:r
a;O;a;O
zrkadielkom;SSns7;zrkadielkom;SSns7
oslňoval;VLescm+;oslňoval;VLescm+
ostatných;AAmp4x;ostatných;AAmp4x
pretekárov;SSmp4;pretekárov;SSmp4
,;Z;,;Z
len;T;len;T
aby;OY;aby;OY
pomohol;VLdscm+;pomohol;VLdscm+
svojmu;PFms3;svojmu;PFms3
zmrzačenému;AAms3x;zmrzačenému;AAms3x
kamarátovi;SSms3;kamarátovi;SSms3
zvíťaziť;VId+;zvíťaziť;VId+
.;SENT;.;Z
Boris;SSms1:r;Boris;SSms1:r
svieti;VKesc+;svieti;VKesc+
zrkadielkom;SSns7;zrkadielkom;SSns7
do;Eu2;do;Eu2
očí;SSnp2;očí;SSnp2
,;Z;,;Z
končím;VKesa+;končím;VKesa+
,;Z;,;Z
“;Z;“;Z
hlásil;VLescm+;hlásil;VLescm+
vysielačkou;SSfs7;vysielačkou;SSfs7
Vilko;SSms1:r;Vilko;SSms1:r
.;SENT;.;Z
A;O;A;O
Maja;SSfs1:r;Maja;SSfs1:r
odvetila;VLdscf+;odvetila;VLdscf+
:;Z;:;Z
“;Z;“;Z
Udeľuje;VKesc+;Udeľuje;VKesc+
sa;R;sa;R
milosť;SSfs4;milosť;SSfs1
,;Z;,;Z
končím;VKesa+;končím;VKesa+
.;SENT;.;Z
“;Z;“;Z
Po;Eu6;Po;Eu6
dlhom;AAns6x;dlhom;AAns6x
období;SSns6;období;SSns6
dažďov;SSip2;dažďov;SSip2
vykúklo;VLdscn+;vykúklo;VLdscn+
opäť;Dx;opäť;Dx
slniečko;SSns1;slniečko;SSns1
.;SENT;.;Z
Obyvatelia;SSmp1;Obyvatelia;SSmp1
Makovej;AAfs2x:r;Makovej;AAfs2x:r
lúky;SSfs2;lúky;SSfs2
to;PFns4;to;PFns4
hneď;Dx;hneď;Dx
využili;VLdpcm+;využili;VLdpcm+
.;SENT;.;Z
Gazdinky;SSfp1;Gazdinky;SSfp1
vyložili;VLdpcf+;vyložili;VLdpcf+
do;Eu2;do;Eu2
okien;SSnp2;okien;SSnp2
vankúše;SSip4;vankúše;SSip4
,;Z;,;Z
Kasandra;SSfs1:r;Kasandra;SSfs1:r
zasa;T;zasa;T
medové;AAfp4x;medové;AAfp4x
guľôčky;SSfp4;guľôčky;SSfp4
a;O;a;O
slečna;SSfs1;slečna;SSfs1
Hopka;SSfs1:r;Hopka;SSfs1:r
usporiadala;VLdscf+;usporiadala;VLdscf+
na;Eu6;na;Eu6
čistinke;SSfs6;čistinke;SSfs6
rannú;AAfs4x;rannú;AAfs4x
rozcvičku;SSfs4;rozcvičku;SSfs4
.;SENT;.;Z
Po;Eu6;Po;Eu6
kráľovskej;AAfs6x;kráľovskej;AAfs6x
hostine;SSfs6;hostine;SSfs6
,;Z;,;Z
na;Eu4;na;Eu4
ktorú;PAfs4;ktorú;PAfs4
mravce;SSip1;mravce;SSip1
priniesli;VLdpci+;priniesli;VLdpci+
obrie;AAfp4x;obrie;AAfp4x
porcie;SSfp4;porcie;SSfp4
špagiet;SSfp2;špagiet;SSfp2
s;Eu7;s;Eu7
voškovou;AAfs7x;voškovou;AAfs7x
omáčkou;SSfs7;omáčkou;SSfs7
,;Z;,;Z
si;R;si;R
všetci;PFmp1;všetci;PFmp1
políhali;VLdpcm+;políhali;VLdpcm+
na;Eu4;na;Eu4
slniečko;SSns4;slniečko;SSns4
,;Z;,;Z
aby;OY;aby;OY
si;R;si;R
oddýchli;VLdpcm+;oddýchli;VLdpcm+
.;SENT;.;Z
Maja;SSfs1:r;Maja;SSfs1:r
s;Eu7;s;Eu7
Vilkom;SSms7:r;Vilkom;SSms7:r
si;R;si;R
však;T;však;T
našli;VLdpah+;našli;VLdpco+
lepšiu;AAfs4y;lepšiu;AAfs4y
zábavu;SSfs4;zábavu;SSfs4
.;SENT;.;Z
V;Eu6;V;Eu6
zápale;SSis6;zápale;SSis6
hry;SSfs2;hry;SSfs2
Maja;SSfs1:r;Maja;SSfs1:r
prihrala;VLdscf+;prihrala;VLdscf+
Vilkovi;SSms3:r;Vilkovi;SSms3:r
,;Z;,;Z
ten;PFms1;ten;PFms1
prudko;Dx;prudko;Dx
kopol;VLdscm+;kopol;VLdscm+
do;Eu2;do;Eu2
lopty;SSfs2;lopty;SSfs2
a;O;a;O
lopta;SSfs1;lopta;SSfs1
zmizla;VLdscf+;zmizla;VLdscf+
v;Eu6;v;Eu6
kroví;SSns6;kroví;AAns6x
.;SENT;.;Z
Vzápätí;Dx;Vzápätí;Dx
sa;R;sa;R
vynoril;VLdscm+;vynoril;VLdscm+
Zlatoň;SSms1:r;Zlatoň;SSms1:r
a;O;a;O
držal;VLescm+;držal;VLescm+
si;R;si;R
hrču;SSfs4;hrču;SSfs4
na;Eu6;na;Eu6
čele;SSns6;čele;SSns6
.;SENT;.;Z
Volám;VKesa+;Volám;VKesa+
sa;R;sa;R
Jurko;SSms1:r;Jurko;SSms1:r
.;SENT;.;Z
Ešteže;T;Ešteže;T
to;PFns4;to;PFns4
spozorvali;VLdpci+;spozorvali;VLdpci+:q
mravce;SSip1;mravce;SSip1
a;O;a;O
zavolali;VLdpci+;zavolali;VLdpci+
hasičov;SSmp4;hasičov;SSmp4
!;SENT;!;Z
Vzápätí;Dx;Vzápätí;Dx
pribehli;VLdpcn+;pribehli;VLdpcn+
mandelinčatá;SSnp1;mandelinčatá;SSnp1
s;Eu7;s;Eu7
boľavými;AAnp7x;boľavými;AAnp7x
bruchami;SSnp7;bruchami;SSnp7
,;Z;,;Z
takže;O;takže;O
musela;VLescf+;musela;VLescf+
ošetriť;VId+;ošetriť;VId+
aj;T;aj;O
ich;PFip4;ich;PFnp4
.;SENT;.;Z
Jurko;SSms1:r;Jurko;SSms1:r
sa;R;sa;R
urazil;VLdscm+;urazil;VLdscm+
.;SENT;.;Z
Na;Eu6;Na;Eu6
cudzej;AAfs6x;cudzej;AAfs6x
planéte;SSfs6;planéte;SSfs6
Maja;SSfs1:r;Maja;SSfs1:r
s;Eu7;s;Eu7
Rudkom;SSms7:r;Rudkom;SSms7:r
sa;R;sa;R
práve;Dx;práve;Dx
vracali;VLepci+;vracali;VLepco+
domov;Dx;domov;Dx
,;Z;,;Z
keď;O;keď;O
sa;R;sa;R
strhol;VLdsci+;strhol;VLdsci+
vietor;SSis1;vietor;SSis1
.;SENT;.;Z
Keď;O;Keď;O
búrka;SSfs1;búrka;SSfs1
ustala;VLdscf+;ustala;VLdscf+
,;Z;,;Z
zistili;VLdpcm+;zistili;VLdpcm+
,;Z;,;Z
že;O;že;O
pristáli;VLdpcm+;pristáli;VLdpc+
na;Eu6;na;Eu6
púšti;SSfs6;púšti;SSfs6
.;SENT;.;Z
Všade;PD;Všade;PD
navôkol;Dx;navôkol;Dx
bol;VLesci+;bol;VLesci+
piesok;SSis1;piesok;SSis1
.;SENT;.;Z
Zarazene;Dx;Zarazene;Dx
vstali;VLdpcm+;vstali;VLdpcm+
a;O;a;O
skúmali;VLepcm+;skúmali;VLepcm+
,;Z;,;Z
či;O;či;O
sú;VKepc+;sú;VKepc+
celí;AAmp1x;celí;AAmp1x
.;SENT;.;Z
Rudko;SSms1:r;Rudko;SSms1:r
si;R;si;R
z;Eu2;z;Eu2
listu;SSis2;listu;SSis2
urobil;VLdscm+;urobil;VLdscm+
slnečník;SSis4;slnečník;SSis4
.;SENT;.;Z
Než;O;Než;O
však;T;však;T
stačili;VLjpcm+;stačili;VLjpcm+
vzlietnuť;VId+;vzlietnuť;VId+
,;Z;,;Z
obkolesila;VLdscf+;obkolesila;VLdscf+
ich;PFmp4;ich;PFmp4
horda;SSfs1;horda;SSfs1
zelených;AAmp2x;zelených;AAmp2x
mužíčkov;SSmp2;mužíčkov;SSmp2
.;SENT;.;Z
“;Z;“;Z
Mimozemšťania;SSmp1;Mimozemšťania;SSmp1
,;Z;,;Z
“;Z;“;Z
zašepkal;VLdscm+;zašepkal;VLdscm+
Rudko;SSms1:r;Rudko;SSms1:r
vystrašene;Dx;vystrašene;Dx
.;SENT;.;Z
Aj;T;Aj;T
Maja;SSfs1:r;Maja;SSfs1:r
zbledla;VLdscf+;zbledla;VLdscf+
.;SENT;.;Z
“;Z;“;Z
Obviňujeme;VKepa+;Obviňujeme;VKepa+
vás;PPhp4;vás;PPhp4
,;Z;,;Z
že;O;že;O
ste;VKepb+;ste;VKepb+
nám;PPhp3;nám;PPhp3
odcudzili;VLdpbh+;odcudzili;VLdpbh+
drahocennú;AAfs4x;drahocennú;AAfs4x
potravu;SSfs4;potravu;SSfs4
,;Z;,;Z
“;Z;“;Z
povedal;VLdscm+;povedal;VLdscm+
prísne;Dx;prísne;Dx
veliteľ;SSms1;veliteľ;SSms1
a;O;a;O
dal;VLdscm+;dal;VLdscm+
pokyn;SSis4;pokyn;SSis4
,;Z;,;Z
aby;OY;aby;OY
ich;PFmp4;ich;PFmp4
zajali;VLdpcm+;zajali;VLdpcm+
a;O;a;O
postavili;VLdpcm+;postavili;VLdpcm+
pred;Eu4;pred;Eu4
sudcu;SSms4;sudcu;SSms4
.;SENT;.;Z
“;Z;“;Z
Som;VKesa+;Som;VKesa+
advokátka;SSfs1;advokátka;SSfs1
,;Z;,;Z
vyhlásila;VLdscf+;vyhlásila;VLdscf+
pohotovo;Dx;pohotovo;Dx
Maja;SSfs1:r;Maja;SSfs1:r
,;Z;,;Z
“;Z;“;Z
a;O;a;O
pána;SSms4;pána;SSms4
Rudka;SSms4:r;Rudka;SSms4:r
budem;VBesa+;budem;VBesa+
zastupovať;VIe+;zastupovať;VIe+
!;SENT;!;Z
“;Z;“;Z
Sudcovi;SSms3;Sudcovi;SSms3
sa;R;sa;R
jej;PUfs1;jej;PUfs1
smelosť;SSfs1;smelosť;SSfs1
páčila;VLescf+;páčila;VLescf+
,;Z;,;Z
a;O;a;O
tak;PD;tak;O
súhlasil;VLescm+;súhlasil;VLescm+
.;SENT;.;Z
Bežala;VLescf+;Bežala;VLescf+
na;Eu4;na;Eu4
rodnú;AAfs4x;rodnú;AAfs4x
lúku;SSfs4;lúku;SSfs4
,;Z;,;Z
ktorú;PAfs4;ktorú;PAfs4
po;Eu6;po;Eu6
búrke;SSfs6;búrke;SSfs6
ľahko;Dx;ľahko;Dx
našla;VLdscf+;našla;VLdscf+
.;SENT;.;Z
Tekla;SSfs1:r;Tekla;SSfs1:r
nadšene;Dx;nadšene;Dx
schytila;VLdscf+;schytila;VLdscf+
husle;SSfp4;husle;SSfp4
a;O;a;O
knísala;VLescf+;knísala;VLescf+
sa;R;sa;R
za;Eu7;za;Eu7
Majou;SSfs7:r;Majou;SSfs7:r
.;SENT;.;Z
Stala;VLdscf+;Stala;VLdscf+
si;R;si;R
na;Eu4;na;Eu4
kameň;SSis4;kameň;SSis4
a;O;a;O
začala;VLdscf+;začala;VLdscf+
vrzúkať;VIe+;vrzúkať;VIe+
.;SENT;.;Z
Tekla;SSfs1:r;Tekla;SSfs1:r
sa;R;sa;R
tomu;PFns3;tomu;PFns3
potešila;VLdscf+;potešila;VLdscf+
a;O;a;O
bola;VLescf+;bola;VLescf+
nadmieru;Dx;nadmieru;Dx
spokojná;AAfs1x;spokojná;AAfs1x
.;SENT;.;Z
Ako;O;Ako;PD
sa;R;sa;R
stretla;VLdscf+;stretla;VLdscf+
s;Eu7;s;Eu7
motýľom;SSms7;motýľom;SSms7
Emanuelom;SSms7:r;Emanuelom;SSms7:r
Na;Eu6;Na;Eu6
okraji;SSis6;okraji;SSis6
makového;AAns2x;makového;AAns2x
poľa;SSns2;poľa;SSns2
sedel;VLescm+;sedel;VLescm+
motýľ;SSms1;motýľ;SSms1
s;Eu7;s;Eu7
malým;AAis7x;malým;AAis7x
oranžovým;AAis7x;oranžovým;AAis7x
cylindrom;SSis7;cylindrom;SSis7
na;Eu6;na;Eu6
hlave;SSfs6;hlave;SSfs6
.;SENT;.;Z
Z;Eu2;Z;Eu2
maku;SSis2;maku;SSis2
vyšlo;VLdscn+;vyšlo;VLdscn+
ako;O;ako;O
z;Eu2;z;Eu2
lesa;SSis2;lesa;SSis2
drobučké;AAns1x;drobučké;AAns4x
dievčatko;SSns1;dievčatko;SSns4
.;SENT;.;Z
Malo;VLescn+;Malo;VLescn+
sukničku;SSfs4;sukničku;SSfs4
z;Eu2;z;Eu2
makových;AAip2x;makových;AAip2x
lupienkov;SSip2;lupienkov;SSip2
a;O;a;O
usmievalo;VLescn+;usmievalo;VLescn+
sa;R;sa;R
.;SENT;.;Z
“;Z;“;Z
Som;VKesa+;Som;VKesa+
Makulienka;SSfs1:r;Makulienka;SSfs1:r
,;Z;,;Z
“;Z;“;Z
vraví;VKesc+;vraví;VKesc+
motýľovi;SSms3;motýľovi;SSms3
.;SENT;.;Z
“;Z;“;Z
Veru;T;Veru;T
mohla;VLescf+;mohla;VLesaf+
,;Z;,;Z
“;Z;“;Z
odvetila;VLdscf+;odvetila;VLdscf+
makovica;SSfs1;makovica;SSfs1
.;SENT;.;Z
“;Z;“;Z
Ďakujem;VKesa+;Ďakujem;VKesa+
,;Z;,;Z
“;Z;“;Z
povedala;VLdscf+;povedala;VLdscf+
Makulienka;SSfs1:r;Makulienka;SSfs1:r
,;Z;,;Z
“;Z;“;Z
ibaže;O;ibaže;O
neviem;VKesa-;neviem;VKesa-
,;Z;,;Z
čo;PFns4;čo;PFns4
mám;VKesa+;mám;VKesa+
robiť;VIe+;robiť;VIe+
,;Z;,;Z
aby;OY;aby;OY
drozd;SSms1;drozd;SSms1
vrátil;VLdscm+;vrátil;VLdscm+
Emanuelovi;SSms3:r;Emanuelovi;SSms3:r
cylinder;SSis4;cylinder;SSis4
.;SENT;.;Z
“;Z;“;Z
Makovica;SSfs1;Makovica;SSfs1
zatriasla;VLdscf+;zatriasla;VLdscf+
hlavou;SSfs7;hlavou;SSfs7
.;SENT;.;Z
Makové;AAnp1x;Makové;AAnp1x
zrniečka;SSnp1;zrniečka;SSnp1
v;Eu6;v;Eu6
nej;PFfs6;nej;PFfs6
zašušťali;VLdpcn+;zašušťali;VLdpcn+
,;Z;,;Z
ako;O;ako;O
keď;O;keď;O
sa;R;sa;R
presýpajú;VKepc+;presýpajú;VKepc+
myšlienky;SSfp1;myšlienky;SSfp1
.;SENT;.;Z
Chvíľu;Dx;Chvíľu;SSfs4
trvalo;VLescn+;trvalo;VLescn+
,;Z;,;Z
kým;O;kým;O
zbadali;VLdpcm+;zbadali;VLdpcm+
drozda;SSms4;drozda;SSms4
.;SENT;.;Z
“;Z;“;Z
Chodí;VKesc+;Chodí;VKesc+
spať;VIe+;spať;VIe+
ako;O;ako;O
slniečko;SSns1;slniečko;SSns1
,;Z;,;Z
“;Z;“;Z
povzdychol;VLdscm+;povzdychol;VLdscm+
si;R;si;R
motýľ;SSms1;motýľ;SSms1
Emanuel;SSms1:r;Emanuel;SSms1:r
.;SENT;.;Z
“;Z;“;Z
Tak;PD;Tak;T
uspíme;VKdpa+;uspíme;VKdpa+
slniečko;SSns5;slniečko;SSns4
!;SENT;!;Z
“;Z;“;Z
navrhla;VLdscf+;navrhla;VLdscf+
Makulienka;SSfs1:r;Makulienka;SSfs1:r
.;SENT;.;Z
“;Z;“;Z
Čo;PFns4;Čo;PFns4
mi;PPhs3;mi;PPhs3
nesieš;VKesb+;nesieš;VKesb+
,;Z;,;Z
Emanuel;SSms5:r;Emanuel;SSms1:r
?;SENT;?;Z
“;Z;“;Z
vypytovalo;VLescn+;vypytovalo;VLescn+
sa;R;sa;R
slniečko;SSns1;slniečko;SSns1
.;SENT;.;Z
Na;Eu4;Na;Eu4
spanie;SSns4;spanie;SSns4
.;SENT;.;Z
Druhý;NAis4;Druhý;NAis4
raz;NSis4;raz;NSis4
Makulienku;SSfs4:r;Makulienku;SSfs4:r
.;SENT;.;Z
Ako;O;Ako;PD
zažala;VLdscf+;zažala;VLdscf+
lúčne;AAns4x;lúčne;AAns4x
svetielko;SSns4;svetielko;SSns4
Počujete;VKjpb+;Počujete;VKjpb+
ma;PPhs4;ma;PPhs4
?;SENT;?;Z
“;Z;“;Z
V;Eu6;V;Eu6
lese;SSis6;lese;SSis6
nie;T;nie;T
je;VKesc+;je;VKesc-
,;Z;,;Z
“;Z;“;Z
povedala;VLdscf+;povedala;VLdscf+
ozvena;SSfs1;ozvena;SSfs1
z;Eu2;z;Eu2
lesa;SSis2;lesa;SSis2
.;SENT;.;Z
“;Z;“;Z
Celý;AAis4x;Celý;AAis4x
deň;SSis4;deň;SSis4
som;VKesa+;som;VKesa+
ho;PFms4;ho;PFms4
nevidela;VLesaf-;nevidela;VLescf-
,;Z;,;Z
“;Z;“;Z
zahučala;VLdscf+;zahučala;VLdscf+
ozvena;SSfs1;ozvena;SSfs1
zo;Ev2;zo;Ev2
skaly;SSfs2;skaly;SSfs2
.;SENT;.;Z
“;Z;“;Z
Netráp;VMesb-;Netráp;VMdsb+
sa;R;sa;R
,;Z;,;Z
niečo;PFns4;niečo;PFns4
vymyslíme;VKdpa+;vymyslíme;VKepa+
,;Z;,;Z
“;Z;“;Z
povedala;VLdscf+;povedala;VLdscf+
Makulienka;SSfs1:r;Makulienka;SSfs1
.;SENT;.;Z
A;O;A;O
teraz;Dx;teraz;Dx
pomôžem;VKdsa+;pomôžem;VKesa-
ja;PPhs1;ja;PPhs1
tebe;PPhs3;tebe;PPhs3
.;SENT;.;Z
Lúčne;AAns1x;Lúčne;T
svetielko;SSns1;svetielko;SSns4
sa;R;sa;R
stratilo;VLdscn+;stratilo;VLdscn+
v;Eu6;v;Eu6
tme;SSfs6;tme;SSfs6
a;O;a;O
o;Eu4;o;Eu4
chvíľu;SSfs4;chvíľu;SSfs4
už;T;už;T
dievčatko;SSns1;dievčatko;SSns1
z;Eu2;z;Eu2
diaľky;SSfs2;diaľky;SSfs2
počulo;VLjscn+;počulo;VLjscn+
veselú;AAfs4x;veselú;PAfs4
motýliu;AAfs4x;motýliu;AAfs4x
pieseň;SSfs4;pieseň;SSfs4
.;SENT;.;Z
“;Z;“;Z
Nehnevám;VKesa-;Nehnevám;VKesa-
sa;R;sa;R
,;Z;,;Z
“;Z;“;Z
odvetila;VLdscf+;odvetila;VLdscf+
Makulienka;SSfs1:r;Makulienka;SSfs1:r
.;SENT;.;Z
Aj;T;Aj;T
tak;PD;tak;T
sa;R;sa;R
vybrala;VLdscf+;vybrala;VLdscf+
pod;Eu4;pod;Eu4
harmanček;SSis4;harmanček;SSis4
,;Z;,;Z
či;O;či;O
náhodou;Dx;náhodou;T
pod;Eu7;pod;Eu7
lístkom;SSis7;lístkom;SSis7
neostala;VLdscf-;neostala;VLdscf-
nejaká;PAfs1;nejaká;PAfs1
kvapôčka;SSfs1;kvapôčka;SSfs1
.;SENT;.;Z
Veruže;T;Veruže;T
neostala;VLdscf-;neostala;VLdscf-
.;SENT;.;Z
Iba;T;Iba;T
na;Eu6;na;Eu6
bodliaku;SSis6;bodliaku;SSis6
sa;R;sa;R
jagali;VLepcf+;jagali;VLepcf+
veľké;AAfp1x;veľké;AAfp1x
kvapky;SSfp1;kvapky;SSfp1
rosy;SSfs2;rosy;SSfs2
,;Z;,;Z
lebo;O;lebo;O
sa;R;sa;R
báli;VLepcm+;báli;VLepcf+
skotúľať;VId+;skotúľať;VId+
do;Eu2;do;Eu2
trávy;SSfs2;trávy;SSfs2
.;SENT;.;Z
“;Z;“;Z
Páliš;VKesb+;Páliš;VKesb+
?;SENT;?;Z
“;Z;“;Z
spýtal;VLdscm+;spýtal;VLdsci+
sa;R;sa;R
opatrne;Dx;opatrne;Dx
bodliak;SSms1;bodliak;SSis1
.;SENT;.;Z
“;Z;“;Z
Pustíš;VKdsb+;Pustíš;VKdsb+
?;SENT;?;Z
“;Z;“;Z
spýtal;VLdscm+;spýtal;VLdscm+
sa;R;sa;R
Ferdinand;SSms1:r;Ferdinand;SSms1:r
.;SENT;.;Z
A;O;A;T
bodliak;SSms1;bodliak;SSis1
Makulienku;SSfs4:r;Makulienku;SSfs4:r
i;O;i;O
motýľa;SSms4;motýľa;SSms4
Emanuela;SSms4:r;Emanuela;SSms4:r
radšej;AUms1y;radšej;T
pustil;VLdscm+;pustil;VLdsci+
.;SENT;.;Z
“;Z;“;Z
Keby;OY;Keby;OY
som;VKesa+;som;VKesa+
tak;PD;tak;T
mala;VLesaf+;mala;VLesaf+
slnečník;SSis4;slnečník;SSis4
,;Z;,;Z
“;Z;“;Z
povedala;VLdscf+;povedala;VLdscf+
Makulienka;SSfs1:r;Makulienka;SSfs1:r
.;SENT;.;Z
Len;T;Len;O
čo;PFns4;čo;O
to;PFns4;to;PFns4
dopovedala;VLdsaf+;dopovedala;VLdscf+
,;Z;,;Z
zniesol;VLdscm+;zniesol;VLdsci+
sa;R;sa;R
nad;Eu7;nad;Eu7
ňou;PFfs7;ňou;PFfs7
modrý;AAis1x;modrý;AAis1x
tieň;SSis1;tieň;SSis1
,;Z;,;Z
v;Eu6;v;Eu6
ktorom;PAis6;ktorom;PAis6
stála;VLescf+;stála;VLescf+
ako;O;ako;O
v;Eu6;v;Eu6
jazierku;SSns6;jazierku;SSns6
.;SENT;.;Z
Dievčatko;SSns1;Dievčatko;SSns1
pozrelo;VLdscn+;pozrelo;VLdscn+
hore;Dx;hore;Dx
.;SENT;.;Z
Nad;Eu7;Nad;Eu7
ňou;PFfs7;ňou;PFfs7
sa;R;sa;R
vznášal;VLescm+;vznášal;VLescm+
cudzí;AAms1x;cudzí;AAms1x
motýľ;SSms1;motýľ;SSms1
.;SENT;.;Z
Na;Eu6;Na;Eu6
hlave;SSfs6;hlave;SSfs6
mal;VLescm+;mal;VLescm+
klobúk;SSis4;klobúk;SSis4
a;O;a;O
na;Eu6;na;Eu6
krídlach;SSnp6;krídlach;SSnp6
vzácny;AAis4x;vzácny;AAis4x
vzor;SSis4;vzor;SSis4
.;SENT;.;Z
A;O;A;T
Emanuel;SSms1:r;Emanuel;SSms1:r
od;Eu2;od;Eu2
žiarlivosti;SSfs2;žiarlivosti;SSfs2
spadol;VLdscm+;spadol;VLdscm+
z;Eu2;z;Eu2
margarétky;SSfs2;margarétky;SSfs2
.;SENT;.;Z
A;O;A;T
odletel;VLdscm+;odletel;VLdscm+
do;Eu2;do;Eu2
sveta;SSis2;sveta;SSis2
.;SENT;.;Z
V;Eu6;V;Eu6
tej;PFfs6;tej;PFfs6
chvíli;SSfs6;chvíli;SSfs6
Makulienka;SSfs1:r;Makulienka;SSfs1:r
celkom;Dx;celkom;T
stratila;VLdscf+;stratila;VLdscf+
srdce;SSns4;srdce;SSns4
.;SENT;.;Z
Vysoko;Dx;Vysoko;Dx
na;Eu6;na;Eu6
nebi;SSns6;nebi;SSns6
vyšiel;VLdsci+;vyšiel;VLdscm+
mesiac;SSis1;mesiac;SSis1
.;SENT;.;Z
Ja;PPhs1;Ja;PPhs1
som;VKesa+;som;VKesa+
tropický;AAms1x;tropický;AAms1x
motýľ;SSms1;motýľ;SSms1
!;SENT;!;Z
Až;T;Až;T
potom;Dx;potom;Dx
zašiel;VLdscm+;zašiel;VLdscm+
mesiac;SSis4;mesiac;SSis1
za;Eu4;za;Eu4
mraky;SSip4;mraky;SSip4
.;SENT;.;Z
V;Eu6;V;Eu6
tráve;SSfs6;tráve;SSfs6
vyhrávala;VLescf+;vyhrávala;VLescf+
letná;AAfs1x;letná;AAfs1x
muzika;SSfs1;muzika;SSfs1
.;SENT;.;Z
Zrazu;Dx;Zrazu;Dx
sa;R;sa;R
zachvela;VLdscf+;zachvela;VLdscf+
zem;SSfs1;zem;SSfs1
a;O;a;O
dievčatko;SSns1;dievčatko;SSns1
skoro;Dx;skoro;T
spadlo;VLdscn+;spadlo;VLdscn+
.;SENT;.;Z
Zem;SSfs1:r;Zem;SSfs1
sa;R;sa;R
ustavične;Dx;ustavične;Dx
triasla;VLescf+;triasla;VLescf+
a;O;a;O
kopček;SSis1;kopček;SSis1
z;Eu2;z;Eu2
hliny;SSfs2;hliny;SSfs2
rástol;VLesci+;rástol;VLesci+
a;O;a;O
rástol;VLesci+;rástol;VLesci+
.;SENT;.;Z
Keď;O;Keď;O
krtko;SSms1;krtko;SSms1
Bonifác;SSms1:r;Bonifác;SSms1:r
vykukol;VLdscm+;vykukol;VLdscm+
druhý;NAis4;druhý;NAis4
raz;NSis4;raz;NSis4
,;Z;,;Z
vraví;VKesc+;vraví;VKesc+
:;Z;:;Z
“;Z;“;Z
Toto;PFns4;Toto;PFns1
som;VKesa+;som;VKesa+
našiel;VLdsam+;našiel;VLdsam+
riadne;Dx;riadne;Dx
hlboko;Dx;hlboko;Dx
!;SENT;!;Z
“;Z;“;Z
Slúžil;VLesam+;Slúžil;VLesci+
som;VKesa+;som;VKesa+
u;Eu2;u;Eu2
jednej;NFfs2;jednej;NFfs2
kňažnej;SFfs2;kňažnej;SAfs2
!;SENT;!;Z
“;Z;“;Z
Vítame;VKepa+;Vítame;VKepa+
vás;PPhp4;vás;PPhp4
,;Z;,;Z
Pichuľko;SSms1:r;Pichuľko;SSms1:r
!;SENT;!;Z
