Slovo;Rod;Slovo2;Rod2
na;;na;
cestičke;ženský;cestičke;ženský
všimol;mužský životný;všimol;mužský životný
drobné;ženský;drobné;ženský
šľapaje;ženský;šľapaje;ženský
.;;.;
Lietal;mužský životný;Lietal;mužský životný
kade;;kade;
‐;;‐;
tade;;tade;
a;;a;
volal;mužský životný;volal;mužský životný
jej;stredný;jej;stredný
meno;stredný;meno;stredný
.;;.;
Zastavil;mužský životný;Zastavil;mužský životný
sa;;sa;
pri;;pri;
lieskach;ženský;lieskach;ženský
a;;a;
zbadal;mužský životný;zbadal;mužský životný
tam;;tam;
veveričku;ženský;veveričku;ženský
Barku;ženský;Barku;ženský
.;;.;
“;;“;
Nevidela;ženský;Nevidela;ženský
si;;si;
Makulienku;ženský;Makulienku;ženský
?;;?;
“;;“;
spýtal;mužský životný;spýtal;mužský životný
sa;;sa;
jej;ženský;jej;ženský
.;;.;
Ešteže;;Ešteže;
čo;stredný;čo;
.;;.;
Naschvál;;Naschvál;
motýľa;mužský životný;motýľa;mužský životný
poslala;ženský;poslala;ženský
na;;na;
opačnú;ženský;opačnú;ženský
stranu;ženský;stranu;ženský
.;;.;
Prehľadal;mužský životný;Prehľadal;mužský životný
ten;mužský neživotný;ten;mužský neživotný
kus;mužský neživotný;kus;mužský neživotný
lesa;mužský neživotný;lesa;mužský neživotný
krížom;;krížom;
‐;;‐;
krážom;;krážom;
,;;,;
ale;;ale;
niečo;stredný;niečo;stredný
ho;mužský životný;ho;mužský životný
ustavične;;ustavične;
ťahalo;stredný;ťahalo;stredný
späť;;späť;
k;;k;
starej;ženský;starej;ženský
borovici;ženský;borovici;ženský
.;;.;
Najprv;;Najprv;
si;;si;
myslel;mužský životný;myslel;mužský životný
,;;,;
že;;že;
to;stredný;to;stredný
vybaví;;vybaví;
podobrotky;;podobrotky;
.;;.;
Ale;;Ale;
dlho;;dlho;
ho;mužský neživotný;ho;mužský neživotný
potrebovať;;potrebovať;
nebudeš;;nebudeš;
,;;,;
“;;“;
vraví;;vraví;
pavúk;mužský životný;pavúk;mužský životný
Karkoško;mužský životný;Karkoško;mužský životný
.;;.;
Mám;;Mám;
osem;stredný;osem;stredný
nôh;ženský;nôh;ženský
,;;,;
osem;stredný;osem;stredný
očí;stredný;očí;stredný
a;;a;
sedem;stredný;sedem;stredný
chutí;ženský;chutí;ženský
.;;.;
Motýľ;mužský životný;Motýľ;mužský životný
Emanuel;mužský životný;Emanuel;mužský životný
ostal;mužský životný;ostal;mužský životný
ako;;ako;
obarený;mužský životný;obarený;mužský životný
.;;.;
Pomôž;;Pomôž;
mi;všeobecný;mi;všeobecný
.;;.;
Vytrhol;mužský životný;Vytrhol;mužský životný
sa;;sa;
z;;z;
pavúčej;ženský;pavúčej;ženský
priadze;ženský;priadze;ženský
takou;ženský;takou;ženský
silou;ženský;silou;ženský
,;;,;
že;;že;
nič;stredný;nič;stredný
netušiaceho;stredný;netušiaceho;stredný
pavúka;mužský životný;pavúka;mužský životný
s;;s;
ôsmimi;ženský;ôsmimi;ženský
nohami;ženský;nohami;ženský
prevrátilo;stredný;prevrátilo;stredný
horeznačky;;horeznačky;
.;;.;
Pelikánia;ženský;Pelikánia;ženský
slečna;ženský;slečna;ženský
Polly;ženský;Polly;ženský
a;;a;
jej;mužský neživotný;jej;mužský neživotný
veľký;mužský neživotný;veľký;mužský neživotný
zobák;mužský neživotný;zobák;mužský neživotný
Kiež;;Kiež;
by;;by;
som;;som;
mala;ženský;mala;ženský
menší;mužský neživotný;menší;mužský neživotný
zobák;mužský neživotný;zobák;mužský neživotný
.;;.;
“;;“;
Veď;;Veď;
ho;mužský životný;ho;mužský životný
strhne;;strhne;
do;;do;
hlbočiny;ženský;hlbočiny;ženský
,;;,;
pomyslela;ženský;pomyslela;ženský
si;;si;
Polly;ženský;Polly;ženský
.;;.;
“;;“;
Už;;Už;
letím;;letím;
!;;!;
“;;“;
kričí;;kričí;
Polly;ženský;Polly;ženský
.;;.;
KLIP;;KLIP;
‐;;‐;
KLAP;;KLAP;
!;;!;
Polly;ženský;Polly;ženský
sa;;sa;
začervenala;ženský;začervenala;ženský
a;;a;
hanblivo;;hanblivo;
klapla;ženský;klapla;ženský
zobákom;mužský neživotný;zobákom;mužský neživotný
.;;.;
Som;;Som;
rada;ženský;rada;ženský
,;;,;
že;;že;
som;;som;
pomohla;ženský;pomohla;ženský
.;;.;
“;;“;
Levíčatá;stredný;Levíčatá;stredný
našli;stredný;našli;stredný
horiace;stredný;horiace;stredný
ohnisko;stredný;ohnisko;stredný
.;;.;
“;;“;
Tráva;ženský;Tráva;ženský
horí;;horí;
!;;!;
“;;“;
Nebojte;;Nebojte;
sa;;sa;
,;;,;
“;;“;
zakričala;ženský;zakričala;ženský
Polly;ženský;Polly;ženský
.;;.;
Všetky;stredný;Všetky;stredný
zvieratká;stredný;zvieratká;stredný
bežali;stredný;bežali;stredný
do;;do;
bezpečia;stredný;bezpečia;stredný
,;;,;
no;;no;
Polly;ženský;Polly;ženský
letela;ženský;letela;ženský
po;;po;
zobák;mužský neživotný;zobák;mužský neživotný
vody;ženský;vody;ženský
.;;.;
Polly;ženský;Polly;ženský
to;stredný;to;stredný
nesmierne;;nesmierne;
potešilo;stredný;potešilo;stredný
.;;.;
Pelikánia;ženský;Pelikánia;ženský
slečna;ženský;slečna;ženský
Polly;ženský;Polly;ženský
má;;má;
veľký;mužský neživotný;veľký;mužský neživotný
zobák;mužský neživotný;zobák;mužský neživotný
a;;a;
veľmi;;veľmi;
sa;;sa;
jej;ženský;jej;ženský
nepáči;;nepáči;
.;;.;
No;;No;
keď;;keď;
sa;;sa;
stane;;stane;
na;;na;
brehu;mužský neživotný;brehu;mužský neživotný
jazera;stredný;jazera;stredný
nehoda;ženský;nehoda;ženský
,;;,;
Polly;ženský;Polly;ženský
zachraňuje;;zachraňuje;
!;;!;
Deti;stredný;Deti;stredný
si;;si;
obľúbia;;obľúbia;
veľký;mužský neživotný;veľký;mužský neživotný
zobák;mužský neživotný;zobák;mužský neživotný
pelikánej;ženský;pelikánej;ženský
slečny;ženský;slečny;ženský
a;;a;
radi;mužský životný;radi;mužský životný
sa;;sa;
s;;s;
ním;mužský životný;ním;mužský životný
zahrajú;;zahrajú;
,;;,;
keď;;keď;
uvidia;;uvidia;
slová;stredný;slová;stredný
KLIP;;KLIP;
‐;;‐;
KLAP;;KLAP;
!;;!;
Jeho;mužský neživotný;Jeho;mužský neživotný
KLIP;;KLIP;
‐;;‐;
KLAP;;KLAP;
!;;!;
počuť;;počuť;
široko;;široko;
‐;;‐;
ďaleko;;ďaleko;
.;;.;
Tvoje;stredný;Tvoje;stredný
klapanie;stredný;klapanie;stredný
nám;všeobecný;nám;všeobecný
nedá;;nedá;
spať;;spať;
.;;.;
Zobuď;;Zobuď;
sa;;sa;
!;;!;
“;;“;
“;;“;
Prepáč;;Prepáč;
.;;.;
Nevedel;mužský životný;Nevedel;mužský životný
som;;som;
to;stredný;to;stredný
.;;.;
Zdravia;;Zdravia;
Ťa;všeobecný;Ťa;všeobecný
Sam;mužský životný;Sam;mužský životný
a;;a;
Andy;mužský životný;Andy;mužský životný
Neďaleko;;Neďaleko;
jazdil;mužský životný;jazdil;mužský životný
na;;na;
koni;mužský životný;koni;mužský životný
mladý;mužský životný;mladý;mužský životný
princ;mužský životný;princ;mužský životný
.;;.;
Začul;mužský životný;Začul;mužský životný
prekrásny;mužský neživotný;prekrásny;mužský neživotný
hlas;mužský neživotný;hlas;mužský neživotný
Šípkovej;ženský;Šípkovej;ženský
Ruženky;ženský;Ruženky;ženský
,;;,;
ktorý;mužský životný;ktorý;mužský neživotný
sa;;sa;
niesol;mužský životný;niesol;mužský neživotný
lesom;mužský neživotný;lesom;mužský neživotný
.;;.;
Šaty;ženský;Šaty;ženský
,;;,;
ktoré;ženský;ktoré;ženský
šila;ženský;šila;ženský
Flóra;ženský;Flóra;ženský
,;;,;
sa;;sa;
nevydarili;mužský životný;nevydarili;ženský
.;;.;
Vtedy;;Vtedy;
víly;ženský;víly;ženský
pochopili;ženský;pochopili;ženský
,;;,;
že;;že;
je;;je;
načase;;načase;
,;;,;
aby;;aby;
dievčine;ženský;dievčine;ženský
povedali;ženský;povedali;ženský
pravdu;ženský;pravdu;ženský
.;;.;
Nastala;ženský;Nastala;ženský
chvíľa;ženský;chvíľa;ženský
,;;,;
aby;;aby;
princeznú;ženský;princeznú;ženský
vrátili;ženský;vrátili;ženský
kráľovi;mužský životný;kráľovi;mužský životný
a;;a;
kráľovnej;ženský;kráľovnej;ženský
.;;.;
Keď;;Keď;
víly;ženský;víly;ženský
nechali;ženský;nechali;ženský
princeznú;ženský;princeznú;ženský
na;;na;
chvíľočku;ženský;chvíľočku;ženský
v;;v;
paláci;mužský neživotný;paláci;mužský neživotný
osamote;;osamote;
,;;,;
zjavilo;stredný;zjavilo;stredný
sa;;sa;
pred;;pred;
ňou;ženský;ňou;ženský
jagavé;stredný;jagavé;stredný
svetlo;stredný;svetlo;stredný
.;;.;
“;;“;
Dotkni;;Dotkni;
sa;;sa;
vretena;stredný;vretena;stredný
.;;.;
Dotkni;;Dotkni;
sa;;sa;
ho;mužský životný;ho;stredný
!;;!;
Prikazujem;;Prikazujem;
ti;všeobecný;ti;všeobecný
to;stredný;to;stredný
!;;!;
“;;“;
Našli;ženský;Našli;ženský
cestu;ženský;cestu;ženský
do;;do;
tajnej;ženský;tajnej;ženský
vežičky;ženský;vežičky;ženský
a;;a;
v;;v;
nej;ženský;nej;ženský
Kráľovnú;ženský;Kráľovnú;ženský
zla;stredný;zla;stredný
.;;.;
“;;“;
Nezistia;;Nezistia;
to;stredný;to;stredný
,;;,;
“;;“;
odvetila;ženský;odvetila;ženský
Flóra;ženský;Flóra;ženský
.;;.;
Správne;;Správne;
sa;;sa;
nazdávala;ženský;nazdávala;ženský
,;;,;
že;;že;
,;;,;
práve;;práve;
prišiel;mužský životný;prišiel;mužský životný
do;;do;
chalúpky;ženský;chalúpky;ženský
učupenej;ženský;učupenej;ženský
v;;v;
horskom;stredný;horskom;stredný
údolí;stredný;údolí;stredný
.;;.;
Len;;Len;
čo;;čo;
vošiel;mužský životný;vošiel;mužský životný
dnu;;dnu;
,;;,;
čakali;neurčiteľný;čakali;neurčiteľný
ho;mužský životný;ho;mužský životný
tam;;tam;
Kráľovná;ženský;Kráľovná;ženský
zla;stredný;zla;stredný
a;;a;
jej;mužský životný;jej;mužský životný
sluhovia;mužský životný;sluhovia;mužský životný
.;;.;
Zlá;ženský;Zlá;ženský
víla;ženský;víla;ženský
vedela;ženský;vedela;ženský
,;;,;
že;;že;
iba;;iba;
on;mužský životný;on;mužský životný
môže;;môže;
zrušiť;;zrušiť;
kliatbu;ženský;kliatbu;ženský
,;;,;
ktorou;ženský;ktorou;ženský
Zorničku;ženský;Zorničku;ženský
zakliala;ženský;zakliala;ženský
.;;.;
Odvliekla;ženský;Odvliekla;ženský
princa;mužský životný;princa;mužský životný
na;;na;
svoj;mužský neživotný;svoj;mužský neživotný
zámok;mužský neživotný;zámok;mužský neživotný
a;;a;
uvrhla;ženský;uvrhla;ženský
ho;mužský životný;ho;mužský životný
do;;do;
temnice;ženský;temnice;ženský
.;;.;
Zlá;ženský;Zlá;ženský
víla;ženský;víla;ženský
sa;;sa;
princovi;mužský životný;princovi;mužský životný
Filipovi;mužský životný;Filipovi;mužský životný
posmievala;ženský;posmievala;ženský
,;;,;
no;;no;
prezradila;ženský;prezradila;ženský
mu;mužský životný;mu;mužský životný
,;;,;
že;;že;
iba;;iba;
on;mužský životný;on;mužský životný
môže;;môže;
zrušiť;;zrušiť;
Zorničkinu;ženský;Zorničkinu;ženský
kliatbu;ženský;kliatbu;ženský
,;;,;
ak;;ak;
ju;ženský;ju;ženský
pobozká;;pobozká;
.;;.;
Vtom;;Vtom;
sa;;sa;
v;;v;
temnici;ženský;temnici;ženský
zjavili;ženský;zjavili;ženský
dobré;ženský;dobré;ženský
víly;ženský;víly;ženský
.;;.;
“;;“;
Tieto;ženský;Tieto;ženský
zbrane;ženský;zbrane;ženský
ti;všeobecný;ti;všeobecný
pomôžu;;pomôžu;
zvíťaziť;;zvíťaziť;
nad;;nad;
zlom;stredný;zlom;stredný
,;;,;
“;;“;
povedali;mužský životný;povedali;ženský
mu;mužský životný;mu;mužský životný
.;;.;
Ako;;Ako;
sa;;sa;
princ;mužský životný;princ;mužský životný
blížil;mužský životný;blížil;mužský životný
k;;k;
palácu;mužský neživotný;palácu;mužský neživotný
,;;,;
Kráľovná;ženský;Kráľovná;ženský
zla;stredný;zla;stredný
mu;mužský životný;mu;mužský životný
postavila;ženský;postavila;ženský
do;;do;
cesty;ženský;cesty;ženský
múr;mužský neživotný;múr;mužský neživotný
z;;z;
tŕňových;mužský neživotný;tŕňových;mužský neživotný
krov;mužský neživotný;krov;mužský neživotný
.;;.;
Zrazu;;Zrazu;
však;;však;
vyšľahli;mužský neživotný;vyšľahli;mužský neživotný
obrovské;mužský neživotný;obrovské;mužský neživotný
plamene;mužský neživotný;plamene;mužský neživotný
a;;a;
vyrazili;mužský neživotný;vyrazili;mužský neživotný
princovi;mužský životný;princovi;mužský životný
štít;mužský neživotný;štít;mužský neživotný
z;;z;
ruky;ženský;ruky;ženský
.;;.;
Zasiahnutý;mužský životný;Zasiahnutý;mužský životný
netvor;mužský životný;netvor;mužský životný
sa;;sa;
zmietal;mužský životný;zmietal;mužský životný
od;;od;
bolesti;ženský;bolesti;ženský
a;;a;
zletel;mužský životný;zletel;mužský životný
zo;;zo;
skaly;ženský;skaly;ženský
.;;.;
Princ;mužský životný;Princ;mužský životný
Filip;mužský životný;Filip;mužský životný
prebehol;mužský životný;prebehol;mužský životný
bránou;ženský;bránou;ženský
do;;do;
paláca;mužský neživotný;paláca;mužský neživotný
.;;.;
V;;V;
ten;mužský neživotný;ten;mužský neživotný
večer;mužský neživotný;večer;mužský neživotný
sa;;sa;
v;;v;
paláci;mužský neživotný;paláci;mužský neživotný
zhromaždili;mužský životný;zhromaždili;mužský životný
všetci;mužský životný;všetci;mužský životný
dvorania;mužský životný;dvorania;mužský životný
,;;,;
keď;;keď;
princezná;ženský;princezná;ženský
Zornička;ženský;Zornička;ženský
tancovala;ženský;tancovala;ženský
s;;s;
princom;mužský životný;princom;mužský životný
Filipom;mužský životný;Filipom;mužský životný
.;;.;
Ostražito;;Ostražito;
sa;;sa;
zakrádala;ženský;zakrádala;ženský
k;;k;
neznámemu;stredný;neznámemu;stredný
miestu;stredný;miestu;stredný
,;;,;
keď;;keď;
začula;ženský;začula;ženský
plač;mužský neživotný;plač;mužský neživotný
.;;.;
Kala;ženský;Kala;ženský
pozrela;ženský;pozrela;ženský
do;;do;
domu;mužský neživotný;domu;mužský neživotný
a;;a;
zbadala;ženský;zbadala;ženský
stopy;ženský;stopy;ženský
po;;po;
zápase;mužský neživotný;zápase;mužský neživotný
.;;.;
Na;;Na;
zemi;ženský;zemi;ženský
ležal;mužský neživotný;ležal;mužský neživotný
obrázok;mužský neživotný;obrázok;mužský neživotný
s;;s;
prasknutým;mužský neživotný;prasknutým;mužský neživotný
rámom;mužský neživotný;rámom;mužský neživotný
.;;.;
A;;A;
za;;za;
tým;mužský neživotný;tým;mužský neživotný
obrazom;mužský neživotný;obrazom;mužský neživotný
v;;v;
tieni;mužský neživotný;tieni;mužský neživotný
stála;ženský;stála;ženský
kolíska;ženský;kolíska;ženský
.;;.;
Plač;mužský neživotný;Plač;mužský neživotný
Kalu;ženský;Kalu;ženský
priťahoval;mužský neživotný;priťahoval;mužský neživotný
.;;.;
V;;V;
kolíske;ženský;kolíske;ženský
bolo;stredný;bolo;stredný
zvláštne;stredný;zvláštne;stredný
bábätko;stredný;bábätko;stredný
bez;;bez;
srste;ženský;srste;ženský
.;;.;
Kala;ženský;Kala;ženský
bábätko;stredný;bábätko;stredný
vybrala;ženský;vybrala;ženský
a;;a;
v;;v;
tej;ženský;tej;ženský
chvíli;ženský;chvíli;ženský
prestalo;stredný;prestalo;stredný
plakať;;plakať;
.;;.;
Leopard;mužský životný;Leopard;mužský životný
Sabor;mužský životný;Sabor;mužský životný
sa;;sa;
chystal;mužský životný;chystal;mužský životný
zaútočiť;;zaútočiť;
.;;.;
Kala;ženský;Kala;ženský
priviedla;ženský;priviedla;ženský
dieťa;stredný;dieťa;stredný
k;;k;
svojej;ženský;svojej;ženský
rodine;ženský;rodine;ženský
.;;.;
Mladý;mužský životný;Mladý;mužský životný
Tarzan;mužský životný;Tarzan;mužský životný
Tarzan;mužský životný;Tarzan;mužský životný
podrástol;mužský životný;podrástol;mužský životný
a;;a;
veľmi;;veľmi;
rád;mužský životný;rád;mužský životný
si;;si;
matku;ženský;matku;ženský
doberal;mužský životný;doberal;mužský životný
.;;.;
“;;“;
Veru;;Veru;
vyľakal;mužský životný;vyľakal;mužský životný
.;;.;
Nevieš;;Nevieš;
napodobniť;;napodobniť;
nejaké;stredný;nejaké;stredný
tichšie;stredný;tichšie;stredný
zviera;stredný;zviera;stredný
?;;?;
“;;“;
spýtala;ženský;spýtala;ženský
sa;;sa;
Kala;ženský;Kala;ženský
.;;.;
Chceš;;Chceš;
vidieť;;vidieť;
,;;,;
ako;;ako;
urobím;;urobím;
leoparada;mužský životný;leoparada;mužský životný
?;;?;
“;;“;
spýtal;mužský životný;spýtal;mužský životný
sa;;sa;
.;;.;
Tarzan;mužský životný;Tarzan;mužský životný
skočil;mužský životný;skočil;mužský životný
vrčiac;;vrčiac;
ako;;ako;
leopard;mužský životný;leopard;mužský životný
a;;a;
vyrušil;mužský životný;vyrušil;mužský životný
rodinu;ženský;rodinu;ženský
.;;.;
Tarzanova;ženský;Tarzanova;ženský
najlepšia;ženský;najlepšia;ženský
priateľka;ženský;priateľka;ženský
Terk;ženský;Terk;ženský
ho;mužský životný;ho;mužský životný
prišla;ženský;prišla;ženský
zachrániť;;zachrániť;
.;;.;
“;;“;
Ďakujem;;Ďakujem;
,;;,;
že;;že;
si;;si;
našiel;mužský životný;našiel;mužský životný
Tarzana;mužský životný;Tarzana;mužský životný
,;;,;
“;;“;
povedala;ženský;povedala;ženský
Terk;ženský;Terk;ženský
Kechakovi;mužský životný;Kechakovi;mužský životný
.;;.;
Tarzan;mužský životný;Tarzan;mužský životný
šiel;mužský životný;šiel;mužský životný
za;;za;
nimi;mužský životný;nimi;mužský životný
.;;.;
Nervózny;mužský životný;Nervózny;mužský životný
mladý;mužský životný;mladý;mužský životný
slon;mužský životný;slon;mužský životný
Tantor;mužský životný;Tantor;mužský životný
ho;mužský životný;ho;mužský životný
zbadal;mužský životný;zbadal;mužský životný
.;;.;
Pozor;;Pozor;
!;;!;
Uteč;;Uteč;
!;;!;
“;;“;
kričal;mužský životný;kričal;mužský životný
.;;.;
Najlepšia;ženský;Najlepšia;ženský
opica;ženský;opica;ženský
Terk;ženský;Terk;ženský
bežala;ženský;bežala;ženský
k;;k;
lagúne;ženský;lagúne;ženský
a;;a;
vytiahla;ženský;vytiahla;ženský
Tarzana;mužský životný;Tarzana;mužský životný
,;;,;
ktorý;mužský životný;ktorý;mužský životný
sa;;sa;
poriadne;;poriadne;
napil;mužský životný;napil;mužský životný
vody;ženský;vody;ženský
.;;.;
“;;“;
Neviete;;Neviete;
,;;,;
že;;že;
vám;všeobecný;vám;všeobecný
piraňa;ženský;piraňa;ženský
za;;za;
pár;stredný;pár;stredný
sekúd;ženský;sekúd;ženský
obžerie;;obžerie;
všetko;stredný;všetko;stredný
mäso;stredný;mäso;stredný
?;;?;
“;;“;
Práve;;Práve;
im;mužský životný;im;mužský životný
okazoval;mužský životný;okazoval;mužský životný
svoju;ženský;svoju;ženský
trofej;ženský;trofej;ženský
.;;.;
Terk;ženský;Terk;ženský
neverila;ženský;neverila;ženský
vlastným;stredný;vlastným;stredný
očiam;stredný;očiam;stredný
.;;.;
“;;“;
Ty;všeobecný;Ty;všeobecný
máš;;máš;
chlp;mužský neživotný;chlp;mužský neživotný
?;;?;
“;;“;
vykríkla;ženský;vykríkla;ženský
.;;.;
Chceli;mužský životný;Chceli;ženský
zistiť;;zistiť;
,;;,;
čo;stredný;čo;stredný
sa;;sa;
deje;;deje;
.;;.;
“;;“;
Ja;všeobecný;Ja;všeobecný
som;;som;
navine;;navine;
!;;!;
“;;“;
hrdo;;hrdo;
zvolal;mužský životný;zvolal;mužský životný
Tarzan;mužský životný;Tarzan;mužský životný
.;;.;
Terk;ženský;Terk;ženský
si;;si;
začala;ženský;začala;ženský
priateľa;mužský životný;priateľa;mužský životný
väčšmi;;väčšmi;
vážiť;;vážiť;
,;;,;
ale;;ale;
Kerchak;mužský životný;Kerchak;mužský životný
sa;;sa;
zlostil;mužský životný;zlostil;mužský životný
.;;.;
“;;“;
Tarzan;mužský životný;Tarzan;mužský životný
nikdy;;nikdy;
nebude;;nebude;
jedným;mužský životný;jedným;mužský životný
z;;z;
nás;všeobecný;nás;všeobecný
!;;!;
“;;“;
zavrčal;mužský životný;zavrčal;mužský životný
.;;.;
Tarzana;mužský životný;Tarzana;mužský životný
urazilo;stredný;urazilo;stredný
,;;,;
že;;že;
sa;;sa;
Kerchak;mužský životný;Kerchak;mužský životný
hnevá;;hnevá;
a;;a;
utiekol;mužský životný;utiekol;mužský životný
do;;do;
džungle;ženský;džungle;ženský
.;;.;
O;;O;
chvíľu;ženský;chvíľu;ženský
sa;;sa;
tam;;tam;
zjavila;ženský;zjavila;ženský
i;;i;
Kala;ženský;Kala;ženský
.;;.;
Potom;;Potom;
mu;mužský životný;mu;mužský životný
priložila;ženský;priložila;ženský
ucho;stredný;ucho;stredný
k;;k;
jej;stredný;jej;stredný
srdcu;stredný;srdcu;stredný
.;;.;
“;;“;
Počuješ;;Počuješ;
?;;?;
Ale;;Ale;
Kerchak;mužský životný;Kerchak;mužský životný
to;stredný;to;stredný
nevidí;;nevidí;
!;;!;
“;;“;
Tarzana;mužský životný;Tarzana;mužský životný
to;stredný;to;stredný
povzbudilo;stredný;povzbudilo;stredný
a;;a;
prisahal;mužský životný;prisahal;mužský životný
:;;:;
“;;“;
Budem;;Budem;
najlepšia;ženský;najlepšia;ženský
opica;ženský;opica;ženský
,;;,;
aká;ženský;aká;ženský
kedy;;kedy;
prišla;ženský;prišla;ženský
na;;na;
svet;mužský neživotný;svet;mužský neživotný
!;;!;
“;;“;
Sabor;mužský životný;Sabor;mužský životný
útočí;;útočí;
Raz;;Raz;mužský neživotný
zaútočil;mužský životný;zaútočil;mužský životný
na;;na;
tlupu;ženský;tlupu;ženský
ich;mužský životný;ich;mužský životný
odveký;mužský životný;odveký;mužský životný
nepriateľ;mužský životný;nepriateľ;mužský životný
Sabor;mužský životný;Sabor;mužský životný
.;;.;
Kerchak;mužský životný;Kerchak;mužský životný
bránil;mužský životný;bránil;mužský životný
rodinu;ženský;rodinu;ženský
proti;;proti;
zákernej;ženský;zákernej;ženský
mačke;ženský;mačke;ženský
,;;,;
zatiaľ;;zatiaľ;
čo;;čo;
ostatní;mužský životný;ostatní;mužský životný
členovia;mužský životný;členovia;mužský životný
ho;mužský životný;ho;mužský životný
pozorovali;mužský životný;pozorovali;mužský životný
zo;;zo;
stromov;mužský neživotný;stromov;mužský neživotný
.;;.;
Lenže;;Lenže;
leopard;mužský životný;leopard;mužský životný
Kerchaka;mužský životný;Kerchaka;mužský životný
zranil;mužský životný;zranil;mužský životný
a;;a;
zakrátko;;zakrátko;
mu;mužský životný;mu;mužský životný
bol;mužský životný;bol;mužský životný
vodca;mužský životný;vodca;mužský životný
goríl;ženský;goríl;ženský
vydaný;mužský životný;vydaný;mužský životný
na;;na;
milosť;ženský;milosť;ženský
a;;a;
nemilosť;ženský;nemilosť;ženský
.;;.;
Vtom;;Vtom;
medzi;;medzi;
nich;mužský životný;nich;mužský životný
skočil;mužský životný;skočil;mužský životný
zo;;zo;
stromov;mužský neživotný;stromov;mužský neživotný
Tarzan;mužský životný;Tarzan;mužský životný
.;;.;
Potom;;Potom;
sa;;sa;
rozhostilo;stredný;rozhostilo;stredný
ticho;stredný;ticho;stredný
.;;.;
Ten;mužský neživotný;Ten;mužský neživotný
okamih;mužský neživotný;okamih;mužský neživotný
prerušil;mužský neživotný;prerušil;mužský neživotný
prenikavý;mužský neživotný;prenikavý;mužský neživotný
zvuk;mužský neživotný;zvuk;mužský neživotný
.;;.;
Tarzan;mužský životný;Tarzan;mužský životný
a;;a;
Jane;ženský;Jane;ženský
Potom;;Potom;
začul;mužský životný;začul;mužský životný
ďalší;mužský neživotný;ďalší;mužský neživotný
zvuk;mužský neživotný;zvuk;mužský neživotný
—;;—;
ľudské;mužský neživotný;ľudské;mužský neživotný
hlasy;mužský neživotný;hlasy;mužský neživotný
!;;!;
Nakukol;mužský životný;Nakukol;mužský životný
pomedzi;;pomedzi;
húštinu;ženský;húštinu;ženský
a;;a;
uvidel;mužský životný;uvidel;mužský životný
troch;mužský životný;troch;mužský životný
tvorov;mužský životný;tvorov;mužský životný
v;;v;
šatách;ženský;šatách;ženský
namiesto;;namiesto;
kožušiny;ženský;kožušiny;ženský
.;;.;
“;;“;
Pozri;;Pozri;
,;;,;
ocko;mužský životný;ocko;mužský životný
!;;!;
“;;“;
zvolala;ženský;zvolala;ženský
Jane;ženský;Jane;ženský
.;;.;
“;;“;
Tu;;Tu;
opice;ženský;opice;ženský
hniezdia;;hniezdia;
.;;.;
Lenže;;Lenže;
milé;stredný;milé;stredný
bábätko;stredný;bábätko;stredný
trhalo;stredný;trhalo;stredný
Jane;ženský;Jane;ženský
obrázok;mužský neživotný;obrázok;mužský neživotný
z;;z;
rúk;ženský;rúk;ženský
.;;.;
Avšak;;Avšak;
rodine;ženský;rodine;ženský
malého;mužský životný;malého;mužský životný
paviána;mužský životný;paviána;mužský životný
sa;;sa;
nepáčilo;stredný;nepáčilo;stredný
,;;,;
ako;;ako;
sa;;sa;
Jane;ženský;Jane;ženský
správa;;správa;
k;;k;
ich;stredný;ich;stredný
mláďaťu;stredný;mláďaťu;stredný
a;;a;
nazlostení;mužský životný;nazlostení;mužský životný
začali;mužský životný;začali;mužský životný
dievčinu;ženský;dievčinu;ženský
prenasledovať;;prenasledovať;
.;;.;
Chcela;ženský;Chcela;ženský
ho;mužský životný;ho;mužský životný
odohnať;;odohnať;
,;;,;
ale;;ale;
Tarzan;mužský životný;Tarzan;mužský životný
jej;ženský;jej;ženský
chytil;mužský životný;chytil;mužský životný
ruku;ženský;ruku;ženský
.;;.;
“;;“;
Áno;;Áno;
,;;,;
chápem;;chápem;
.;;.;
“;;“;
Tarzan;mužský životný;Tarzan;mužský životný
nechápal;mužský životný;nechápal;mužský životný
.;;.;
“;;“;
Nechcú;;Nechcú;
nám;všeobecný;nám;všeobecný
ublížiť;;ublížiť;
,;;,;
Kerchak;mužský životný;Kerchak;mužský životný
!;;!;
“;;“;
povedal;mužský životný;povedal;mužský životný
.;;.;
Vedela;ženský;Vedela;ženský
,;;,;
že;;že;
z;;z;
toho;stredný;toho;stredný
má;;má;
v;;v;
hlave;ženský;hlave;ženský
zmätok;mužský neživotný;zmätok;mužský neživotný
.;;.;
Dva;mužský neživotný;Dva;mužský neživotný
svety;mužský neživotný;svety;mužský neživotný
Prvý;mužský neživotný;Prvý;mužský neživotný
deň;mužský neživotný;deň;mužský neživotný
v;;v;
škole;ženský;škole;ženský
V;;V;
škole;ženský;škole;ženský
ich;stredný;ich;stredný
privítala;ženský;privítala;ženský
pani;ženský;pani;ženský
učiteľka;ženský;učiteľka;ženský
.;;.;
Pani;ženský;Pani;ženský
učiteľka;ženský;učiteľka;ženský
sa;;sa;
usmievala;ženský;usmievala;ženský
a;;a;
pousádzala;ženský;pousádzala;ženský
ich;stredný;ich;stredný
okolo;;okolo;
